"TCGA-P6-A5OF-01" "TCGA-OR-A5LJ-01" "TCGA-OR-A5KV-01" "TCGA-OR-A5LG-01" "TCGA-OR-A5LM-01" "TCGA-PK-A5HB-01" "TCGA-PK-A5HA-01" "TCGA-OR-A5KY-01" "TCGA-OR-A5KX-01" "TCGA-PK-A5H8-01" "TCGA-PK-A5H9-01" "TCGA-OR-A5LH-01" "TCGA-OR-A5JT-01" "TCGA-OR-A5JS-01" "TCGA-OR-A5JQ-01" "TCGA-OR-A5JJ-01" "TCGA-OR-A5JR-01" "TCGA-OR-A5JE-01" "TCGA-OR-A5JG-01" "TCGA-OR-A5JD-01" "TCGA-OR-A5JP-01" "TCGA-OR-A5JI-01" "TCGA-OR-A5KW-01" "TCGA-P6-A5OG-01" "TCGA-OR-A5LN-01" "TCGA-OR-A5J9-01" "TCGA-OR-A5LT-01" "TCGA-OR-A5LS-01" "TCGA-OU-A5PI-01" "TCGA-OR-A5L6-01" "TCGA-OR-A5LE-01" "TCGA-OR-A5LL-01" "TCGA-OR-A5LO-01" "TCGA-OR-A5LD-01" "TCGA-OR-A5K8-01" "TCGA-OR-A5KZ-01" "TCGA-OR-A5KT-01" "TCGA-OR-A5KU-01" "TCGA-OR-A5L4-01" "TCGA-OR-A5K2-01" "TCGA-OR-A5K4-01" "TCGA-OR-A5K3-01" "TCGA-OR-A5K5-01" "TCGA-OR-A5L5-01" "TCGA-OR-A5K1-01" "TCGA-OR-A5JZ-01" "TCGA-OR-A5K0-01" "TCGA-PA-A5YG-01" "TCGA-OR-A5LB-01" "TCGA-OR-A5JF-01" "TCGA-OR-A5LA-01" "TCGA-OR-A5L8-01" "TCGA-OR-A5KO-01" "TCGA-OR-A5L3-01" "TCGA-OR-A5K6-01" "TCGA-OR-A5K9-01" "TCGA-OR-A5JY-01" "TCGA-OR-A5JO-01" "TCGA-OR-A5JX-01" "TCGA-OR-A5JV-01" "TCGA-OR-A5JW-01" "TCGA-OR-A5JM-01" "TCGA-OR-A5JK-01" "TCGA-OR-A5JL-01" "TCGA-OR-A5JB-01" "TCGA-OR-A5JA-01" "TCGA-OR-A5JC-01" "TCGA-OR-A5J8-01" "TCGA-OR-A5J6-01" "TCGA-OR-A5J1-01" "TCGA-OR-A5J2-01" "TCGA-OR-A5J3-01" "TCGA-OR-A5J5-01" "TCGA-OR-A5J7-01"
"FLJ22447" 7.91818017413777 7.21070757854349 6.93009134204695 6.60359335774103 9.47273539726575 7.88924687804818 6.64320200561962 6.17282194322801 8.70152413438612 9.39835582691104 7.39162237017312 8.73686948203252 10.7442164857788 7.62883595157272 7.7121890135401 7.91128962126143 7.94994920190209 7.63108637532435 7.04486816951816 7.37465992894671 7.99201882688996 9.38405995015415 8.26203413935703 10.4414658622275 4.81706520541131 8.86501351303061 9.216873752399 8.12442794197095 8.06499056033546 5.26579759036548 7.70596211045364 8.2721397023243 6.82581583060434 7.63424280531382 7.53300177167692 6.22240122424469 6.63273526301758 8.48963307691847 9.07199558436465 6.74221324706121 8.08387888185912 8.08733023144919 6.60557850770491 8.98249681302181 6.72169169136061 10.2546175829064 7.24171229983743 6.83767223714111 6.78007042914385 7.31045032443197 7.58782852049161 7.47069368692701 8.42283496448815 4.82716329520067 4.86100144420469 6.89342005356692 8.0561600291345 7.38008273786998 8.33624028764429 9.88116426492337 6.44295740063333 6.81046213202914 9.0713655744249 8.67205795651054 16.0369805177013 7.15658314851857 8.9748826049622 7.6992666624767 8.42042473718057 7.81933286907922 7.2505908338603 10.1547476113389 8.67408964971802 6.52942353983613
"KIAA0087" 2.52906951746589 2.97894059097844 2.24142899007658 2.05781182668319 2.20015579781091 2.37815607978315 2.18961623509999 2.59042940577537 1.96728163042118 2.16277045974739 2.28257618488708 3.01339480625652 3.24368070212237 2.11442435135045 1.86314467875853 2.37747660460493 3.61146519067931 3.10932247844422 2.67880323883 2.64534607643483 2.08478148074083 1.40650913174934 3.33338335995812 2.24643254281889 1.5704493221797 2.06444480371427 2.59386648137575 3.456352421379 2.69215794664233 1.78170534104781 2.51367970828623 3.0428363483946 3.2254229803657 2.61044235103671 1.17010342981182 2.64349983486875 0.892146272246007 3.20663920167066 1.24322560114654 1.69190682854193 3.17617000924833 0.971291012887473 2.72609078659423 3.1039068149784 1.66025980480013 2.80281924345078 2.94238908494522 2.4030865994521 3.09264037743457 2.8220068337845 2.391361669627 3.72713798082402 3.15891953025402 2.65534248405409 2.20213624336584 2.34856247655274 2.87073577192862 2.57418993520336 2.23449861933811 2.79857296245228 3.09877969776806 2.23461901670887 3.18003415690313 2.57051689937867 2.74369849874328 2.59752598471837 2.87679955874465 1.90931684700255 1.95564397266942 2.38917293517031 2.09165253183152 2.96867544315242 3.02559694737994 2.54265449436266
"D21S2088E" 5.28209966725195 4.82932894906389 4.22233531372034 5.76093216982101 6.43123076894035 5.27754192872789 4.62633003999012 5.18526883709987 5.0421677877363 5.81855938466521 4.97603220429656 5.92530497947132 5.73480185442056 5.06521921741476 5.03003320877671 5.16061073927658 5.24731127708274 4.68279094358861 4.08262560236908 5.42919984403191 4.77609273181381 5.72487844407702 5.87202073761661 5.79914513090417 6.4110885766299 5.29237789972375 4.71856375219811 4.18777237981833 5.38847925010109 5.37122501548836 4.43784827376375 5.07830172489297 5.13557935284958 6.24233964031926 6.93340225140746 3.92499339370364 5.04425075551166 5.34367589321823 5.88035584436736 5.98585059782309 5.49006760213051 6.48908860533329 5.26868006476772 5.47734078277588 5.2134688127842 5.69772488334287 4.9006972401851 5.24616403401335 4.79014952145255 5.46391004472228 6.40468104986975 4.28939943126094 5.28525344381306 5.85460420590825 4.30452902324098 3.80850767557639 4.68853351021635 5.54049546619113 5.92481969759627 4.11576757397868 5.14059709711359 4.5690685912732 6.41329853960239 5.9662393701568 6.48037206476693 5.36834500824276 6.64216184892607 5.03078517938063 5.73832353439425 5.39172660838487 4.60875209358165 5.84544502094349 6.4477904283835 4.41284085538934
"RP11-474D1.3" 1.96951017969028 2.2864626902523 2.66053794735502 1.89200493221593 1.89912812788201 1.14416355811798 1.48504260403107 2.45238623131885 2.20473658230176 2.54445207689723 1.20061291580498 1.55387922013243 1.15611600230937 1.9027233791767 2.02931559982148 1.85440184008234 0.327996168417787 1.2328483590656 1.59442024579369 1.50722422617421 1.77264719706328 0.774885972437681 1.63627404402425 2.44889085668147 0.840961012847249 1.13669416433007 2.17029049913721 2.77709427479142 1.43192501660352 2.15877513783611 2.16565435974511 2.57567906621358 1.82758168852214 2.59431277117776 1.74854597708764 2.32093879916832 0.896768647358534 2.11521409501092 1.60842596037276 1.69850879677853 1.29623210291526 1.91181013514827 0.341921440295807 1.64458194302954 -0.693147180559945 1.55884764028808 1.26419049877219 -0.693147180559945 2.58755197804488 2.060823830178 -0.693147180559945 1.80446468255273 1.24145067818703 2.12720868392677 1.45659921686252 2.36268168894116 1.79476036443759 1.29595032191016 1.66606632580894 1.89056672340327 1.91285966223775 1.09943863144376 1.84024405925906 1.8702425009835 1.41303188568259 2.05386770132145 2.42214311107115 1.65941723158607 1.58064071204201 1.06552909904756 1.86325213950656 2.26559973791954 2.85216365286627 1.69752903454688
"RP11-14N7.2" 7.06278047686573 5.06066516651114 10.0746102351532 3.10285651139982 7.81724830059418 8.09767747260835 7.21107019423262 8.37129783351116 6.73901405225404 7.79150042429619 6.1136080869664 6.43786973329839 8.03829608881015 6.44563218986234 5.30604511274928 8.29765772613551 5.98943003218052 7.95446987547146 9.45620686781947 6.30554099964803 8.21756841699907 5.93415256050639 9.38815974159886 8.01145379283206 4.98967688196127 6.82512456252458 5.71595564162878 7.97187935263288 8.33406918375061 6.93297657081654 5.11778429996715 6.80248979340413 6.24579900686272 5.50597277080082 6.48924145992779 7.13213033282113 7.13039668196384 7.73932199386433 4.35815435426128 8.71904969555578 6.13555281538703 3.5165111480524 8.99467095229638 6.23370251144761 6.9011071480221 2.82752680809939 7.04749902434483 6.92140470781033 7.03644504687368 7.41236318131481 9.05266232459189 6.56534421131853 6.47259940139944 5.90838127735089 5.70117363481243 6.74136648942464 7.51523148501063 7.85181167610226 6.4768700640346 6.27310193969537 5.89416741509689 6.79168105659931 4.08789097146293 4.83528755396046 7.59858274705793 8.28411099136408 7.09874016820504 12.0375554382836 4.2966795960782 7.78898931165005 6.39927397403245 8.84949426332506 8.31506196444286 8.29575429289727
"LINC01116" 10.8016234898356 10.5089797133469 6.61733308694457 10.5934066747668 7.3677885369276 6.5304381817341 6.92417220586109 11.5183541683376 6.85082148588567 4.56354053066819 8.28731659796732 9.57713862679574 10.7345457959966 11.2189821556259 8.01863459016706 11.5023578994482 9.04200659777467 10.8707939966763 9.21177517014264 5.26580748792975 7.42321933735643 9.59165464878416 10.3072121258097 9.81229909135767 7.03979692326556 10.7276386520773 9.59162105498262 9.47135997489028 10.9483603113639 7.63159345162336 13.4032911647891 6.92557235582922 9.17633703891183 11.6528332567362 9.00278929339211 10.7832679846652 8.82737090244165 11.5742585945291 5.95938946255771 10.9535573597796 10.2217699960459 3.56627089636104 14.9074550297026 8.47806301256442 8.47780051356389 6.97999791241784 9.9047365360002 8.42592058375734 7.24633079245785 11.5376490855381 8.8525211213699 12.6603512690248 9.04796292705044 10.5465349404573 8.52113523360744 11.5453161601448 10.9590209123386 10.7249038472456 10.752017000888 9.73538052432671 9.64832608321949 12.089262803244 10.7606287069897 6.85423582149781 6.68345666049831 7.57946704076737 8.9802252292609 10.8001691044544 9.77038125724487 5.55026900976202 13.5420237774023 7.0956402322021 7.39467703106352 9.67353833728731
"LINC00671" 1.62660781910526 2.22499590643188 2.53286571634688 1.75397210236285 1.74356556944839 1.73972124758902 2.93256298490574 1.8599230021466 2.08701194889672 2.01237683416807 4.77520547682495 1.72475866777886 1.40283016878474 1.73867258616887 0.265557636076315 1.32725259599074 1.2430975111426 1.68256019953128 1.67737389994401 2.53772224745727 1.51187943849913 2.63442015021196 1.89126945914112 2.51666929658346 1.78247718862103 0.632984735996526 1.16946987529602 1.71089788493018 1.08795997218265 2.1657702508999 1.0774783324922 1.81762035098735 1.10490737221161 2.58470731285874 1.14909462657466 0.528171339498506 2.76503782165807 0.613597561720002 1.24496555952326 1.89353332989198 2.0836045230054 -0.693147180559945 1.50961124151057 3.13587730937787 0.716001604477274 0.643948725963766 1.51324722633825 2.32029930994568 -0.693147180559945 1.50850658903031 1.76729356631068 1.69121933483296 1.49506581014117 1.91083967414482 2.64574163018144 1.44897232904978 2.42786021980242 3.02414841434903 1.7540764388128 2.07329560716492 1.79895439514101 1.17144274572608 1.6182678634413 2.20137133840968 0.419654629727777 2.19393108636284 2.49314360601526 2.0148397305077 4.13135994496702 1.47850830937185 1.92101527956524 1.11638059067814 0.49932496300116 1.5506571683301
"RP11-266K4.9" 9.08628896219918 10.2824019501098 5.87187713587134 5.30756735021988 8.47032538231255 7.30020297302583 8.49114904818717 6.74663502439499 9.32842728033248 10.9227002337928 8.38723829131438 7.85466755391301 10.5147642269849 9.43732161402102 6.49893306956341 6.59255111373213 8.79587793561868 3.91108290263667 7.71679689215908 10.6921020998201 6.00935948246706 9.60476513782347 8.98928089354769 8.41579095095216 8.07235609894722 8.40984362868782 8.6274296685296 10.8402091533823 7.69583765329632 9.03191857739298 7.12259257656842 7.98895325902648 12.2116541924852 4.45188090018874 4.9226632894025 8.36565735223686 7.03726233537766 10.0161527806431 8.45490792103713 7.78256996536519 7.62117648125144 9.85016669559722 7.8533969145243 8.09266409913013 9.1698018176604 7.43292205492376 8.54541882261585 8.49744584704354 7.47838513994654 8.47576384054072 7.11923875388923 9.61613053646258 8.74457947517253 6.00906173504091 9.25114837850795 7.26068471116816 8.56643015322949 7.688117506093 9.36450595772464 7.25520807442092 7.19932492978752 6.74873415816602 8.66381232467716 5.73708489448675 4.9861523926567 8.65388522138349 7.69970690779042 5.58064034534941 9.25903130318419 4.59987918254559 10.0700105736675 10.1437372414279 8.55297177826161 12.0188804176072
"RP11-262H14.4" 3.36608376473493 5.41291667830613 6.11885322660473 3.66020171658352 3.44978385204125 4.81761365551138 6.45616970581928 6.2186278246871 10.6020891124914 2.5350704012244 6.76860185740008 6.46775423581822 2.33568605108988 6.95621129122696 5.38990421119107 6.54555587895064 5.87160509675206 7.8544234002033 3.53830223702422 7.39404258918924 9.18310357124157 8.56956231079833 5.99384188632954 4.66275156719924 7.06394000988857 6.91145553376754 6.35575610200946 6.407271132434 7.70804033765047 3.41489193041841 3.39054067874466 3.82753112856878 8.68606133128503 3.9746860561798 7.00376768613197 5.55633357729785 7.42954016215491 6.61300195595712 5.47925715009366 5.84926042367539 4.56161069018684 3.54588788178331 7.12295306048228 5.21519235730992 2.12573091507055 3.37223513432128 2.55944407489651 6.08319212662751 6.88232499840705 7.27629356980182 2.34478800298892 5.67396191449645 3.67735527669081 6.95618046963084 3.6699307633184 1.50606131563282 6.0905408224632 3.5792493468927 7.83417559476616 5.29928645176602 7.85266356691566 7.14114821900066 5.80979750406385 5.90561167100638 1.61067852299079 8.66209458806357 5.57482285742892 2.43964869081782 4.2782754901074 7.51598128865151 7.54652503801231 4.47246154505382 3.36676411454311 6.5378447210225
"AC093323.3" 12.7273702101844 10.7870476899214 13.2900339166332 11.8652790350547 13.1698313234145 12.3904431075968 11.5396728506239 11.8285023253709 12.8821251048932 11.3945918452815 12.0934239146054 12.8253488361533 13.0729994502914 10.6151580648876 13.050711098336 14.4654953178325 12.7104609072336 13.3077789122041 12.5683473189319 12.4924845037077 13.5273421032559 12.7406554860617 13.186356143213 10.696919840828 11.6136863475938 14.171878388687 12.4697432153539 12.4840214949611 12.8456015429801 12.1423161599771 13.8806752855258 11.5999151618547 10.9688165805492 12.308918676906 13.2292676775785 11.4752291679981 13.3396703241999 13.4173861041924 10.7729882491848 11.2585229658503 12.1638630718745 13.6243871498031 12.7945946470445 11.6587741018704 12.4856020583633 11.9912269209207 13.4416516941452 11.295325736034 13.178837369024 13.1973144018825 13.3846089685788 11.9860953626683 12.7641749150967 11.2565714526321 12.8823748444046 11.7150853390232 10.5344819285652 12.3869945579257 11.8912388235041 12.0944914704846 12.5461451716366 11.7471737172964 12.5826351290203 14.3306719200194 6.73534086454888 13.9127515216583 12.3951973264032 11.0048283078918 13.0868180381489 12.7562844441574 11.5601870523273 11.9366540062135 12.9709951376333 10.9306021068773
