"TCGA-W5-AA39-01" "TCGA-YR-A95A-01" "TCGA-ZH-A8Y5-01" "TCGA-W5-AA2X-01" "TCGA-W5-AA2H-01" "TCGA-ZH-A8Y4-01" "TCGA-W5-AA38-01" "TCGA-W5-AA2U-01" "TCGA-3X-AAVE-01" "TCGA-W5-AA2G-01" "TCGA-W5-AA2R-01" "TCGA-W5-AA31-01" "TCGA-W5-AA2Q-01" "TCGA-4G-AAZO-01" "TCGA-3X-AAVB-01" "TCGA-W5-AA2W-01" "TCGA-4G-AAZT-01" "TCGA-W5-AA34-01" "TCGA-W5-AA2T-01" "TCGA-W5-AA33-01" "TCGA-3X-AAVC-01" "TCGA-ZH-A8Y2-01" "TCGA-ZH-A8Y1-01" "TCGA-ZU-A8S4-01" "TCGA-ZD-A8I3-01" "TCGA-W5-AA36-01" "TCGA-3X-AAVA-01" "TCGA-ZH-A8Y8-01" "TCGA-WD-A7RX-01" "TCGA-W6-AA0S-01" "TCGA-W5-AA30-01" "TCGA-ZH-A8Y6-01" "TCGA-W5-AA2Z-01" "TCGA-W5-AA2O-01" "TCGA-W5-AA2I-01" "TCGA-3X-AAV9-01"
"FLJ22447" 6.0733951153049 6.02750271309919 6.34401313095407 6.17548593891 5.84332816250309 6.55840390160465 6.05636159978925 6.3785257556522 6.2392726832246 5.82133640828867 6.54321855140712 5.97541721606746 6.19652739785792 6.07671656365066 5.7916098507104 6.03530786914969 6.75329554073452 5.84902038147414 6.18834787116476 6.11348713871839 5.7836282095114 6.34433439948827 6.24515428302587 5.70515580839719 6.49767695970176 6.11583989692215 5.60350297142131 5.7700095556732 5.84911742611394 5.62666668604319 6.13215314227751 6.10948994720064 6.0836872803564 5.79689309285709 6.23352005237157 5.79732761192678
"RP4-763G1.2" 2.81366219106463 3.75553365891077 1.62822816493465 1.94101682619316 1.40600700449578 2.59390402104523 2.37883911067931 1.3923263661818 0.697866102508176 4.8146543431616 1.91688455734774 3.49665794533994 2.28058755504728 1.12213039309753 1.53480096946917 1.88987780454595 -0.693147180559945 1.21908040456046 2.10542543320045 3.73074563550028 1.79490843374404 1.53098675737409 2.31657106511222 0.729836810196842 1.21928083220784 -0.693147180559945 1.60469275672435 3.58448372125359 5.16391729303443 0.830973292004164 2.44340873861222 1.42254804565185 1.50111831505208 3.6619042005744 2.26624290933321 1.75962166838596
"KIAA0087" 3.26558325708314 5.76121937424262 3.00915897844655 3.23266632808949 3.34205220071525 4.06705607781965 3.2415546303005 3.35002322692331 3.84850870286289 1.78558460341158 5.2112492184455 2.95955977261863 3.23627876881426 3.31127873437232 2.25484183248241 3.07773619576512 2.76605218681012 3.22715377657471 3.96439604870812 4.39012961958495 3.32461227893846 4.02772585736109 3.48297560793443 1.93515430851551 3.99625965367665 2.77173942992221 3.44384576023409 2.10999545431056 3.86246837349511 3.6302324468109 3.32172188618135 3.11469835118635 3.61071512931623 2.32242083339436 4.08486186166128 2.30024986905224
"DKFZP434K028" 1.84828374824607 6.39794810664982 5.22131179468495 2.82931301544023 -1.38629436111989 5.99849027540377 4.03134943534038 3.8032462893786 3.37020278346545 5.39493053838829 6.03478782041961 0.903908120423481 3.23377129198222 4.17006813278786 4.43896694661974 9.53206033942921 5.22606936878169 4.02938920414741 5.0604104940691 5.11010168961803 2.90747060514237 2.63058961439712 2.99163876828056 -0.127843273565963 5.55237681524423 6.25575862655254 7.45709800976318 4.80589189568272 3.08708070202855 6.72235492656298 0.34746323655028 0.732930614869451 5.54080758221972 8.0550175837401 4.83970353858503 1.80736009151277
"D21S2088E" 4.86769200603554 5.39886880284516 5.67660240846562 3.53972113052481 4.52357194392036 5.58811772352057 5.76063672571186 5.76772496181488 5.51380421730335 5.4510974834348 5.38803981601146 5.07262586374259 5.10739320416138 5.18802118342254 6.67460887773276 5.22326000637459 7.07597020465425 6.24358537109266 4.58063029726638 5.01290512773808 5.05865463928825 5.66216283867078 5.42382652347914 5.56849650314048 4.9576229740206 6.35304224618824 5.9450324777144 5.39178690374833 5.52716396024258 6.54754847683576 4.42278174270913 5.99319890552155 5.86585992374902 5.36778098468168 5.57664282843729 5.30996449870338
"RP11-474D1.3" 1.90092995836416 2.29586304917631 2.26329355991622 5.03364790854796 2.64009925799213 2.65488954741692 1.83966114621994 1.81977450657592 1.03049692761014 1.93750873311624 2.34750828968504 2.73501316393592 2.2204837841631 2.43094178793376 1.69608233146153 2.29389458782489 1.71059465051498 1.69848483083887 2.19160312028334 1.58268751757941 1.39995399612864 1.93096476048363 2.61523974795109 2.24505986612053 2.32558308500632 2.39011211810737 1.87237721155062 2.17521646583101 1.99613329360788 1.87423760413386 2.04121257653752 1.95682405976024 1.65476043596146 2.63426141105342 1.62259148003965 3.04413087010301
"RP11-14N7.2" 8.45302098853015 6.210279604568 3.73859069072193 6.64929694974956 3.53989224931101 8.94578017429308 7.76555727605008 6.62238710844651 8.00993496444213 4.55359185473078 8.23943394400794 7.65750990464139 2.71368951488094 9.92549916390892 7.22880559013786 7.0411426165359 9.85736613002051 2.6133923178996 2.09853655970776 3.76408085703193 8.20161001012632 9.14586500479257 8.85730620951223 9.10047892353194 5.817329377191 7.52663169586987 5.89070035803815 8.57252469307962 5.49988293148092 5.35405757119528 5.87423412117489 6.85189646883184 6.97977445007038 5.87491203338084 5.54608149525748 9.05472400256798
"LINC01116" 3.89474120701965 7.53792363074307 6.59002778081278 6.38808233977635 8.95798733480122 10.6358742042276 4.40351982926979 6.00879859318849 6.37492432998734 4.76190946649881 5.84408583123936 5.19975635358824 8.42637321633716 5.41655998173087 7.79799766620596 7.27166602162984 7.42645348749309 7.49472935238305 4.76636126041436 8.92367915747448 7.07761148983448 4.31390808386301 11.0293123797338 14.7017102789292 5.55172915290063 5.60406428295866 3.90188075980097 5.80214530840135 6.97146754015426 5.68069032818901 10.7763821226538 2.61341659480075 10.3120405615339 6.80521839540545 6.06428797370943 9.21768838895255
"LINC00671" 3.53930463402343 6.29586540671755 7.35954225564992 2.01441373257387 3.36617564246572 3.58688630339792 5.1244762575798 7.97824700547242 5.2736624328467 4.99510048693688 7.45559262947813 5.50692613579401 2.37489103428989 7.12833699529001 5.5735374123645 4.69111594630142 9.297876245068 3.96726060024278 8.03467704671632 4.11318680548045 5.22367068256812 9.58269019079684 4.692754593246 0.428683685536555 5.53213811303349 9.34157548958675 10.8823595223615 3.83529682671457 6.25141484753696 4.8011211484678 5.44479924768321 3.19526516700901 3.805946934436 4.31472354515362 3.03010298564272 3.07902870455197
"RP11-266K4.9" 7.80409673351316 9.00717289702363 9.57700118307457 10.1772878176179 8.74566238780212 8.96360301473696 4.42893947262857 9.48609618709756 9.03637345739284 8.47671744279797 9.91732209254169 6.75189738148564 10.1145074791878 8.53875365744102 8.88340597737518 11.6979101836929 9.34887975048543 7.94417755939081 10.2938062366836 10.5943817402025 7.0707290539067 8.0532817838812 10.0751860896883 5.64683693959201 7.82920089524388 6.31353730524688 6.45268155358462 7.02795481953572 8.5487246338412 7.23286566518036 10.3126137577166 8.60479435948018 10.0048766193039 8.88067244985863 3.51638546152747 7.69186349116558
