"TCGA-FF-8062-01" "TCGA-FF-8061-01" "TCGA-FF-8046-01" "TCGA-FF-8043-01" "TCGA-FF-8042-01" "TCGA-FF-8041-01" "TCGA-RQ-A6JB-01" "TCGA-RQ-A68N-01" "TCGA-FF-8047-01" "TCGA-GR-A4D9-01" "TCGA-GR-A4D6-01" "TCGA-GR-A4D4-01" "TCGA-FA-A6HN-01" "TCGA-FA-A6HO-01" "TCGA-FA-A4BB-01" "TCGA-FA-A4XK-01" "TCGA-GR-7353-01" "TCGA-G8-6909-01" "TCGA-GR-7351-01" "TCGA-G8-6907-01" "TCGA-G8-6914-01" "TCGA-G8-6906-01" "TCGA-G8-6326-01" "TCGA-FM-8000-01" "TCGA-G8-6324-01" "TCGA-G8-6325-01" "TCGA-GR-A4D5-01" "TCGA-FA-8693-01" "TCGA-VB-A8QN-01" "TCGA-GS-A9TT-01" "TCGA-FF-A7CW-01" "TCGA-FF-A7CX-01" "TCGA-GS-A9TV-01" "TCGA-GS-A9TQ-01" "TCGA-GS-A9TW-01" "TCGA-GS-A9TU-01" "TCGA-FA-A86F-01" "TCGA-FF-A7CQ-01" "TCGA-FA-A82F-01" "TCGA-GS-A9TX-01" "TCGA-FF-A7CR-01" "TCGA-FA-A7DS-01" "TCGA-FA-A7Q1-01" "TCGA-GS-A9TY-01" "TCGA-RQ-AAAT-01" "TCGA-GS-A9U4-01" "TCGA-GS-A9U3-01" "TCGA-GS-A9TZ-01"
"FLJ22447" 5.45341187600174 5.28488670027395 5.86941061359332 5.87811108308325 5.12025940872174 5.71908796279193 5.41214757428646 5.36811628163802 5.21661742464771 5.48753149877777 5.53697154133319 6.48686242477238 5.52835134753594 5.29625958554744 6.05881966508072 5.64597302636023 6.05740431249393 5.60429781389491 5.62007294649763 6.22508734102955 5.61104806384699 5.61666887686002 6.02287074038187 6.51214253192567 5.78737765418761 5.24499112419814 5.7145682973262 4.98930209399019 5.07152844211768 5.42446421858766 5.19504172191282 5.97033276462697 7.76821297925444 5.02603554266784 5.44017669103425 5.85414321894906 5.17597606968758 5.03082850733544 5.51374639795697 5.81580311474741 5.8826440893488 5.70880052860976 6.30003984679479 5.69700581204576 5.79946040966132 6.14466191070543 5.43712821007162 5.96391875621191
"KIAA0087" 2.06322579767038 2.23701105296799 3.97146743025943 1.70756283720797 2.4129131192912 2.44976610078808 1.19232698356069 2.51008383724789 2.69163860102935 1.79749039288253 2.70025045043841 2.59639238695985 2.40492388106734 2.36641578049051 3.1155613469855 2.32593680467803 1.81146608748483 2.62598412980323 2.37778708828242 2.45700936752939 2.82228316013175 2.43364288643951 1.62595170372793 2.94178073708133 3.03794995189402 2.35100451406882 2.56922664180002 1.88603444312638 2.34141944923415 2.12327910078041 2.05154861471276 3.02230251780622 3.95272905844916 2.55553874065994 2.81853098417769 3.0923144061305 2.01603155829546 2.38778168794499 3.09036204419067 2.68580983486676 2.7002998705933 2.71673564785426 2.74682916544885 2.13838012163707 1.94592434592578 2.0201376540458 2.62135415593876 2.78391837300403
"D21S2088E" 4.23507927869045 3.89483278258262 4.72175671131826 4.31192537782346 4.30104885878221 4.22393524247493 4.19176865364213 3.93681478455291 4.25540549740943 3.53702053744665 4.75671707301982 3.46308370223105 3.97175662819574 4.05299659622826 4.35530492788171 3.63336831233323 4.9812270513645 4.1362533018516 4.28135536065204 5.48460841055106 4.60487404131793 4.03836691942898 4.3551478113591 4.10895088981987 5.26910735726357 4.5938578474714 3.98667773308242 4.30390291670129 3.73642680997726 3.23477881327122 3.71405112637569 3.59324219732842 4.6639136743012 3.31348072179868 3.94133453270418 3.8310040895412 3.85770328583264 3.65580617498225 4.03240808290119 3.99586031027407 3.67167219574416 3.99491253105627 4.26604947515876 4.71227420944115 4.59394910313413 3.52442185973256 3.83818100359062 4.4258032130079
"RP11-474D1.3" 1.50896105364111 1.91117178391607 3.61882729728546 2.80963095186766 1.99767129356817 1.09972025569708 0.984358550506591 1.75788578424719 2.03162068112687 2.29295339543279 1.76671929255283 2.21732577683066 2.16210669784096 2.2268401801552 2.61629623800684 3.58076787628002 1.8295895434143 1.46929998255833 2.23878472692101 2.91416646403199 2.27330876250245 3.39269607129541 2.31658694695961 2.06776429932664 2.55608670040369 1.47037796842494 2.02378077869264 1.20345841755105 0.977334452769886 2.08199553001206 1.40648310587178 1.76038917518208 2.05067707792998 1.38312741962257 2.21140483061298 2.55253134640199 2.04339904092484 2.42450105598427 1.85487302591062 1.93286302138296 2.36193238892138 1.44357889718424 2.35927643199909 2.19125965735374 2.92202084244856 1.95595786768952 1.4004346376451 2.49477773179944
"RP11-14N7.2" 5.70497171652212 5.30341662946179 6.2145589496375 7.084715562859 4.5744599286724 7.78624011960371 5.377692274419 5.53772731550395 2.38050476858126 5.26889766926807 5.43643660360123 5.25597798291466 4.99199733860244 4.05964355125156 2.88955201827382 7.30411426785892 6.9371169568118 5.91947899150888 5.01724062302027 6.83064095459909 7.75963638159936 6.09503553813375 5.81344480555918 6.0521964724657 2.63677037682595 6.29357146341991 7.11909403150389 6.94994527004878 7.17952772089361 1.31667780078825 3.37803998157773 2.32450429791133 5.40040018264781 1.74185893408028 4.31300162974017 5.8930114253359 4.50345251591215 3.24242081567242 5.94550913386039 6.12004350527248 1.86271428732421 1.74269473092114 4.29049243026588 7.12626488349227 6.10313642544889 6.58767488243998 2.17222862977358 4.92722390552866
"LINC01116" 6.22235656408162 6.59227344465667 11.5383062229686 7.28781248199641 7.03659575313988 8.17514343292808 7.36049373178525 6.28098039096853 5.83155992001504 7.02393999467225 6.97662791973485 7.29300172974416 5.7784944259743 6.07384037336765 8.17614498499749 6.88785608001333 5.94049419698916 4.13169814314192 6.05993742499963 7.25246881100987 9.03572493529582 8.8679092852388 8.23332024909955 9.10562493451155 8.32644479796527 4.81565186268515 5.8652926319303 7.33130880311779 6.69301103113269 6.83563919173571 6.09315124332396 7.83646007442721 7.87561816220281 5.43267477059184 9.72545214130708 5.68828010922386 6.70701591086289 6.440105113236 6.85304663447765 4.7992120909154 6.35317494052636 7.44819071613702 7.27098843446011 7.58295701713967 9.32705618080801 7.01179558569849 4.85655805562098 8.58198587986702
"RP11-266K4.9" 7.34593811865972 6.89850660755735 6.63482005101015 5.45666731800324 6.48445375197326 7.23584695838119 3.22520354641279 8.31317246182479 5.33903398422844 7.44704234450703 8.67007426589584 9.07892318603393 9.57816220140541 7.85347662134878 7.01158435959722 11.7853236739946 3.84046402684306 4.93399135386539 5.34509028160458 5.70043823092847 6.43302133064436 7.48957981601513 5.10732011391052 7.47952063622659 9.23360732714639 7.00249883433247 9.46695325074213 6.75405628383629 8.79169465275041 10.5077514883784 7.38646194186027 8.71238253844012 8.68283542945207 7.26249436564152 6.11796732145576 8.30991698462538 6.66035239887236 7.1634712367406 9.25512376617452 7.42948803306895 10.354049583268 8.46743791857072 8.12707159580509 10.5579970785072 5.21927156465582 8.15620761530321 8.61248318330433 6.73290852077835
"RP11-262H14.4" 11.2352286754954 12.6882433152155 7.61963685269293 4.10923487072428 11.299489764622 11.1817651321539 10.6205779530755 12.8833762477793 13.329664129821 7.38515124393111 13.5002652632007 8.63083405685345 9.74451801027173 8.07714920786313 11.3667675385446 9.97171684100921 10.6362529786509 12.2560191088359 10.7288697387628 12.0037685824068 8.53676061968789 13.4123549359325 6.56394825904395 10.1397207634241 7.28511020475185 8.87771460004248 8.4376003193684 13.9602080370869 11.3868205309157 8.30332518181664 12.3454866496619 9.89268472035641 7.89121346684725 9.01423829027423 4.73075300623621 7.90806910349614 9.9957512187982 13.4721156128775 12.2851594379173 9.0776938799141 8.1791524821753 12.4853592653859 8.72202675943638 15.1523025632594 14.5474404276567 10.111117340436 4.95859893460106 10.5664139684716
"AC093323.3" 12.2416048040552 12.0860421190018 12.8227109867546 11.6430604260228 12.3808911471584 11.886115470824 10.9743649926551 11.5804890632125 12.4598498533878 11.2741640750337 12.0252119816677 11.0286804660281 11.4090855655848 10.8988887330707 12.3031055908608 10.5693649542119 11.8686270384916 10.6536393249285 11.0172234205079 12.8565614723916 11.5050654534648 12.3978924383336 11.5357006362057 11.9550402829145 12.0412343253972 10.907207503962 10.7830836191337 11.6661784151802 11.0234358141122 11.3974746916819 12.368656052487 11.2769522609732 10.628411002653 10.4595553445398 11.240594499535 9.45051515627299 11.0565166101135 11.4701545170525 11.5153583172254 12.0723973659092 11.12768264457 11.7393762670382 12.0206745796787 6.14456574014096 10.2031795230494 10.912110190897 11.215641603681 10.3116915418273
"CMB9-22P13.1" 9.16989765431699 9.00104709687751 9.60206953520405 7.63257332071801 10.5004525910784 9.35118079129538 9.25830284549514 9.31214345300454 13.000866692122 8.89836980371016 7.73956054194785 12.2418648759397 7.7518125170074 9.10619784700198 9.19140851798921 10.2766021162929 7.71800603206103 10.9229917119002 10.2373353684539 11.7802902053956 7.28810125726974 11.2161517223193 8.20325784151082 9.49272918285161 6.83586067193541 10.08729902672 6.64516355155031 8.71366730311961 9.01226156474636 10.1284074796198 6.95197280076898 12.2321017179581 9.75081889106329 10.5391467876898 10.5923048686876 6.94003174809195 9.67768850444817 9.24406050769908 10.5623994891083 10.0405661026111 5.17612960792261 7.82396159501585 9.74830190334912 11.2548609900042 10.5429871453496 5.11993143890836 11.8524561435479 11.2194253613139
"RP11-244H3.1" 3.47704501591437 2.64503928092809 2.12508793870561 2.97622425931745 2.32157555691753 2.0095010807502 3.90153004142253 3.44943905564539 2.43930208847825 4.26140906025059 3.64294017284601 3.38726109827166 4.41121075512565 4.22014518161603 3.95048581406064 3.65733510068151 2.84904420403963 2.1504576992357 1.05953317046261 -0.693147180559945 -0.693147180559945 2.65317968444889 -0.693147180559945 3.58454394275999 3.36176614410006 2.53033321150718 3.98169767748044 -0.693147180559945 3.45496999575279 3.61402672434298 3.66300290673356 4.13324301263773 4.33600758935415 3.49422838426261 3.06281457852053 4.13977072169431 4.18083268698829 3.83293212561153 2.6266422569753 4.01081351101732 3.92572217225867 3.35444589257088 3.62295379735249 2.61692514564398 2.78245955031647 3.83384731956748 4.00617402723667 3.76592836902354
"AC012074.2" 1.66917307398842 0.66834664490039 2.67487380871636 1.82666203978498 1.93860540819638 1.89207746356253 2.86005262141987 2.8327098332809 3.72472591345504 3.96306242031624 3.23135905950374 2.58407598870529 4.18855669261113 3.60465643050213 3.89978072691042 4.75467030397238 3.39270674485582 -0.693147180559945 1.83041623143802 2.22961342342345 1.65208876274955 1.91894810726405 2.95615075130257 1.59175904113053 3.82452342263493 2.55905415191657 3.90096276437796 2.18471370568763 1.63155355272354 1.74786157621748 2.99473362847773 4.66708421403268 3.96428984398569 1.32032085097101 2.95406965805342 3.3358302064283 3.644427661059 4.68592649468716 2.08794772123232 3.41744310101544 2.79511069827225 2.36494531384493 2.81795992348445 1.54838156929548 0.907192021091165 3.26468045321727 2.84171485796122 3.34882093921159
"LINC00471" 2.76654519804318 3.75573018051728 4.86831675657721 3.26103547127472 2.48776336538483 3.36155480268352 3.40467026595392 1.91472099505146 2.40453282245504 3.75195907396455 2.87976711944255 4.22519306674785 2.47191619735587 3.0861942337747 2.76128288740596 2.3626744262137 3.65036017171412 3.58478604616742 3.26625210496949 3.47173541377787 2.81044268050766 3.66295717590418 3.21255538456394 3.76351456125007 3.04654569991174 2.48654252585051 2.91540246955636 3.64739026860728 3.19897322034652 3.573186443186 3.05313779851034 2.78773942579583 3.72352135203416 3.83194163979257 3.71261539767468 3.2509117204644 2.9580429137661 2.70706168395298 2.41540976573334 3.67951530412505 2.39913664822502 2.89995210919032 2.62726402650023 4.8791636661523 3.53851518511496 3.67274847801248 3.69422631620306 2.42775916470951
"LINC00670" 3.61656080541394 3.09181551663101 4.79892097042746 3.15374312479952 2.87169418752339 3.11588522431415 3.10086939359183 3.65289981792112 3.94698110447499 4.004530693151 3.51046445675879 3.97229829881596 4.15331122725508 3.63615429246806 3.94616671962294 4.23150952531034 4.0138460796169 3.73683252949806 3.83050024596902 4.34055411225993 3.29930751720452 4.31286429301597 4.02586089635967 3.56177286395108 4.31664712757166 3.40670374339013 4.16389334605025 2.33527566793512 3.62241531174863 4.57604793947783 3.71714709285681 4.1231158534471 6.07798978553318 3.27129815215496 3.29655628603471 4.20439502912322 3.45222308178016 4.2313310895947 3.4648809592584 4.05119238208309 4.03978706414841 3.95131038257232 4.15067804038694 2.23045949481964 3.09273376123612 3.82563093610105 3.84586527046312 3.66450149245499
"EIF3J-AS1" 8.88871154119651 8.84831286999143 9.69817375948577 8.47573909277522 10.7152764595092 8.06741044407704 9.24602497444497 11.0648445735357 9.97176237315703 11.4549230897992 6.49686245068288 10.0020061872311 12.4705722819879 10.7906148423121 6.69767713669112 11.3458373620067 6.95414171163625 7.50226628015867 6.2546806659815 3.76303232619011 9.87026870542618 8.6618434278137 6.83761251246531 7.87714987885943 8.04537355829161 6.21111066402101 11.3263327490571 5.77965386491149 10.0915841126425 10.2467863978445 10.5304830236307 12.2255147933416 10.8943794040943 11.8369991509686 9.08318570223616 11.8838938044129 10.794463854259 11.5849095164418 12.2941930892337 12.4912908250399 11.1989431341255 8.6704469210667 13.414472068926 9.20559788187427 6.39048550079815 9.04871592452373 12.5033294371382 10.6731514636047
"LINC00324" 5.98359972440889 5.99390773005655 4.60336306341626 5.11992545570492 5.66861304403556 5.52400904907987 5.94747189072694 4.75398548645808 5.02316154031334 4.75230861103021 5.9896108949085 5.24538677710436 6.34349323954196 5.77909301219147 5.5080748970878 5.59968225880929 4.99344433952669 5.50839429029636 5.65560703899401 5.99328878394381 5.61737249627634 5.34871027026408 5.52206510042067 6.09404152260649 5.93903479848099 5.29469784654793 5.63123838840641 5.94948753672909 5.44483964967103 4.27422406873461 5.02786188988575 5.71899717638424 5.65963528101225 5.30661586021383 4.93564503931121 5.8714726575597 5.60723355764142 4.68248781812176 5.52454551983714 5.66660577523408 5.42358491756953 4.40770592340669 5.9599258511782 5.0501283610681 4.87523947454805 4.41417627905854 6.3788649743337 5.76345903222173
"AP003774.4" 2.40795545292668 2.54774692686349 3.93846720799446 3.02716951533573 2.84419159757079 2.57866194675481 2.70182688807773 3.69991506789817 2.88559084435411 2.57029105444017 3.19148160978966 2.48696954553183 2.77140518773091 3.43246037004398 2.88611625687784 1.63441031537187 2.14384439845525 2.15913143367295 2.11846950605735 2.37109199598529 2.76994014824667 1.86754056937848 2.25424182373036 1.71086797040817 2.4741261723961 2.59549427438 3.49195017565208 2.28548989921681 2.09078170974409 2.00630526980329 2.18403359816325 2.4476487760303 3.87427146255979 3.00177107559246 2.84900856728407 2.54684536700675 3.08737543277893 2.5616416872319 2.20594499120301 3.15114398115939 2.71195786229921 2.9172325181181 2.80743821592766 1.58339147086205 3.14052226869279 3.17726776906135 3.02770710664573 2.27261597582466
"C9orf106" 2.04309701845056 2.56973722782247 3.92342845559815 2.62041577930016 2.77336694262657 2.96689010097914 2.10422250077473 2.33667896729099 2.36795379153542 2.43638447919285 2.59610801986839 2.4401154161331 2.49525093726999 2.23780187298161 2.75393115289019 2.05709933745224 1.98004316656567 1.45566462354782 2.36527161106198 1.97379935044554 2.49396447307319 3.2930024281825 3.59526797993001 3.22017749089374 2.77390724389438 2.48837124971382 2.3896325271046 1.82090482932598 2.13630953502331 2.5024374618983 1.7764451435703 2.99577651597078 3.42745940686857 1.53620039163367 1.89338083426655 2.50410515254803 2.35613395141601 2.12957092032624 2.4776622367007 2.55397776722991 2.22669763875102 1.89223701994077 2.72636071161201 2.88765169106637 2.79619902563903 2.49369862029883 2.25987989284686 2.16481258030011
"RP11-290F5.2" 1.76486907206334 1.85204623872274 4.25932446078192 0.581248974827459 1.17089818969086 4.10090235682368 1.33131049355771 2.10267640251777 4.68517842142618 3.25388309068643 3.09026214131881 2.24936615730956 4.1529199983088 4.05934839012899 3.04807260202304 2.04140566368075 1.97171079485324 1.64453433808436 1.78115184086088 1.1941833627012 4.23363594423415 3.13324253325417 2.3759896985103 3.01037070851028 7.22151020187902 2.64539801651416 2.09939571928999 2.30501387927963 2.04295004513965 2.77209685605723 3.8339312147498 6.81575253778117 3.95956900826172 2.23088334409744 2.60536334745249 4.49376194216778 2.46938691089998 4.80337914273954 2.73404064447915 2.03158555250381 2.23642683304129 1.99682338031059 1.58451620934026 5.07218340639677 2.83802498415424 6.27025968944954 4.27189474619767 6.88124340517211
"FLJ40194" 2.64340823319104 2.46961648346492 4.60517723818314 1.88002287924102 2.18725213958711 2.62637135362924 2.06815591844728 2.34266867575242 3.21910811539033 2.80163767089456 2.90979735432856 2.54978872169991 3.15520592382468 2.51800413308197 2.95110672444114 2.2542636633786 2.70023562109236 2.53751830069181 2.59174117208319 4.6807480380122 2.66350175021031 3.63835023403189 3.41680717825597 3.18871380266967 3.02626323791979 2.05198305256782 2.36070292252679 2.81912352050853 1.48121491197528 2.50539279338958 2.03539869055286 3.00093653350279 4.04262761173393 2.12505225092072 2.12885347152809 2.54048465132484 2.35272308959577 2.80819896338902 1.48179741364972 2.66443544557859 2.51570388982361 2.60774493287078 2.47929612288401 -0.693147180559945 3.23238205220845 2.79674705385521 2.41455052005557 2.33320699212892
"TTTY14" 0.976252294749665 1.52620012483446 2.76657293333021 1.03814302940369 2.24919794992766 1.47237737836454 2.20998687066546 1.44076786230462 2.05804207571783 1.85391268045507 1.94201079242702 2.48730062512039 3.06695444357578 1.85273686036499 2.90034851072139 2.44258694197756 2.56930346451148 -0.693147180559945 1.2463220763205 1.62102583971692 1.79711449499125 2.14810438287201 3.89075484701807 0.713925290020638 1.88318782602599 2.78887318993221 1.12774696152813 1.89473234783553 2.83480497138322 2.91157063091995 2.61244931123864 2.44015630286294 2.73958632943685 2.06042717570813 2.19289834311927 3.31104529669797 2.20856322344727 2.44861063782173 2.00718332350644 3.39645358756317 2.64170709028933 1.21853111808524 2.37340641860462 2.39877015399536 -0.693147180559945 1.45615551224371 2.14711750833219 3.04690287353708
"FAM87B" 1.47414006512198 1.64309815622928 2.46859714913139 1.99685264924347 2.3197941320149 0.619866544946447 2.21010344178506 2.2063556012484 2.25374037603519 1.97732821587827 0.682711872959615 3.05044785751388 1.48836147384573 2.37941070880007 1.33075327959317 2.08227820449914 1.40037838856326 2.61437246047504 -0.693147180559945 2.61698753751063 2.14519241315805 -0.693147180559945 -0.693147180559945 1.59175904113053 1.0683175191916 1.89532130675125 2.66468923347467 2.10824625486419 1.6530425228649 2.43084187638331 1.7040362565418 0.635786761923063 2.75536337264672 1.64594144717759 2.21141018960667 3.22441296440187 2.14847518907238 2.23315663749623 2.09696921100217 1.68187641245309 2.6628859661249 2.08424696784357 1.99725893391239 -0.693147180559945 2.51480021463417 2.23457369842099 2.20959323474067 2.91705260806498
"MGC45922" 4.19721273593585 5.96036520011484 2.22765201703763 3.64019226059582 0.974440528176959 4.51339441015579 3.67637585697069 2.22499910200364 5.25801899226596 0.655270188443851 4.3929439306834 0.151709110554371 4.3056371593545 4.46057222283969 3.17577263274754 3.6246081862193 0.974871562374348 2.61437246047504 5.15961444674479 4.26084965829911 5.11503483540093 3.06188289573146 2.11644785804424 1.83326767730455 2.96230893112203 4.06528171354634 3.07787469885645 3.51233183599957 3.2791058941359 3.15835411165438 2.57546053982758 2.58605445051147 3.07447352857956 0.746136504771657 3.68832371196087 1.98270934513201 1.47588635906047 3.74870591813955 -0.693147180559945 2.01539403529151 1.63068071376932 2.78870538223576 1.33513790699295 4.00265122726914 3.52973889039611 4.41244823474526 2.9393855210867 2.40381429537912
"LINC01547" 8.73166268507875 9.76214013891892 6.68381697257985 6.57020653114607 7.65606298417875 10.7572894475286 10.0784898947958 6.89255816814825 8.22418993379257 7.09380699734945 6.97144187908162 9.94346940331828 11.7110554969925 8.52369162582758 8.60731602528874 8.08187279375667 9.71144599069162 9.99529824773078 9.27914714195359 9.45361866120551 9.12573359346391 9.2709484491461 7.83309575127503 10.9951614724852 6.96058213966566 8.96578576204698 9.79968083579674 8.41733139261766 9.36346897575241 6.79293609925657 7.72601156357095 6.1792551797711 8.94098404160108 6.59519401497284 9.45341475964274 8.70765839658115 8.00813435982903 7.83700788178937 7.44634734711204 9.58724924549912 7.06097642080795 7.67093233772849 10.0459182417841 10.4116758403328 6.42591790885612 9.81628413713446 8.96766892451507 7.78570961010531
