"TCGA-SC-A6LM-01" "TCGA-MQ-A6BN-01" "TCGA-MQ-A4LC-01" "TCGA-LK-A4O0-01" "TCGA-MQ-A4KX-01" "TCGA-LK-A4NW-01" "TCGA-LK-A4NZ-01" "TCGA-TS-A7P8-01" "TCGA-LK-A4NY-01" "TCGA-LK-A4O2-01" "TCGA-LK-A4O7-01" "TCGA-MQ-A4LJ-01" "TCGA-SH-A7BD-01" "TCGA-LK-A4O5-01" "TCGA-MQ-A4LV-01" "TCGA-SC-A6LP-01" "TCGA-SC-A6LQ-01" "TCGA-SH-A7BC-01" "TCGA-MQ-A6BQ-01" "TCGA-MQ-A6BR-01" "TCGA-MQ-A6BL-01" "TCGA-MQ-A6BS-01" "TCGA-NQ-A57I-01" "TCGA-MQ-A4LI-01" "TCGA-TS-A7P0-01" "TCGA-TS-A7OY-01" "TCGA-TS-A7P6-01" "TCGA-TS-A7PB-01" "TCGA-SC-A6LR-01" "TCGA-LK-A4O4-01" "TCGA-MQ-A4LP-01" "TCGA-LK-A4O6-01" "TCGA-SH-A7BH-01" "TCGA-NQ-A638-01" "TCGA-SC-A6LN-01" "TCGA-ZN-A9VW-01" "TCGA-3H-AB3O-01" "TCGA-ZN-A9VU-01" "TCGA-XT-AASU-01" "TCGA-UD-AAC7-01" "TCGA-TS-A8AS-01" "TCGA-3H-AB3T-01" "TCGA-3H-AB3S-01" "TCGA-UD-AAC5-01" "TCGA-SH-A9CU-01" "TCGA-TS-A8AY-01" "TCGA-UT-A97Y-01" "TCGA-3U-A98E-01" "TCGA-ZN-A9VV-01" "TCGA-YS-A95B-01" "TCGA-YS-AA4M-01" "TCGA-YS-A95C-01" "TCGA-ZN-A9VS-01" "TCGA-UT-A88C-01" "TCGA-3H-AB3U-01" "TCGA-UD-AABY-01" "TCGA-UD-AAC1-01" "TCGA-UT-A88G-01" "TCGA-UT-A88E-01" "TCGA-TS-A7P7-01" "TCGA-TS-A7P1-01" "TCGA-UT-A88D-01" "TCGA-TS-A7OZ-01" "TCGA-3U-A98J-01" "TCGA-TS-A8AV-01" "TCGA-TS-A8AF-01" "TCGA-TS-A7OU-01" "TCGA-SH-A9CT-01" "TCGA-TS-A8AI-01" "TCGA-3U-A98D-01" "TCGA-SC-AA5Z-01" "TCGA-3H-AB3X-01" "TCGA-3H-AB3L-01" "TCGA-3U-A98F-01" "TCGA-ZN-A9VO-01" "TCGA-3H-AB3K-01" "TCGA-UD-AAC4-01" "TCGA-ZN-A9VP-01" "TCGA-ZN-A9VQ-01" "TCGA-3H-AB3M-01" "TCGA-UD-AABZ-01" "TCGA-TS-A7P3-01" "TCGA-3U-A98H-01" "TCGA-UD-AAC6-01" "TCGA-3U-A98I-01" "TCGA-3U-A98G-01"
"FLJ22447" 10.1935106707582 8.80973977320942 5.79052359075672 11.656669836439 7.26362639291249 7.58565130361047 7.72105935465606 11.081086966351 7.80151837745032 7.26154318950027 8.29485027812888 6.7044608567972 5.69446691634858 7.87222847020392 7.2087690803371 8.87413378187233 7.45783037849726 7.97468936890227 5.76901007455971 8.85349855465653 7.9996302641792 6.52232324179677 11.2169504168669 8.18932919567662 6.93838786755559 8.25285501637366 6.69262088141865 7.93330203991113 7.31249767099394 8.74398637293818 7.87807527434425 8.44152380986344 10.0229068020235 6.85091133382789 7.94878757414227 7.08458234959353 7.91822435574441 6.27983983708476 9.31936229290655 7.91165886778753 6.84904685255714 7.59719493980511 7.72715934639498 7.52270147394496 6.87931978027541 7.24354243975574 8.36840166824048 6.81802936220523 7.63376511152214 7.99357430116328 6.95140342256667 7.84699995816866 7.94964475645008 7.31631394926706 6.84620343654318 8.62250011502578 10.2131160843137 7.64567171783808 7.28930098299736 7.4849453849664 8.28758754344833 6.93131529494059 7.61886104064057 8.48879193750817 8.97132551828786 8.0059409638631 8.24837655046919 8.78892138053464 6.80072829526476 7.75741685683105 9.80957947782436 8.95433405839497 5.9547736086951 6.05279008502196 8.14328914356362 6.28889423334029 6.84062711798129 6.5455652647329 5.98947322053027 7.65360680398396 8.14291464399653 8.87653154090243 8.41733094962346 6.90833446578543 8.4206935733948 9.57770277499447
"KIAA0087" 2.07074299092365 2.68377127022516 2.57423087457156 2.46749189249794 2.21806576407764 2.39813655792176 2.02916185125052 3.02307412205767 2.66269506320956 2.75256786744568 3.07446568515349 2.00920393422333 1.93891914712932 2.41495686914861 1.9090820406276 2.30779331130925 2.19227320711651 2.44843592053428 1.90648432829436 2.19228425084546 2.30623144559174 2.43035183941456 2.33665690199931 2.48234246533626 2.98423761503293 2.03932821240701 1.836069219096 2.17586922662064 2.15495617218889 2.60305483244225 2.68196258317129 2.28696982918564 3.4131044141212 1.92253942705878 2.00003604486176 2.84195544919652 2.20246016057123 2.32824779178146 2.61859285913512 2.74924407763121 2.84159965109168 2.14745352341289 2.40418812411958 2.60264658715658 2.68746730593502 2.85433865069613 2.79127459509062 2.64691051179193 2.95834303136226 2.46647154529468 2.38734743979476 2.1719835042103 2.14037273077404 2.85734755220213 2.34354953888352 3.37840606731722 2.48134839234882 2.835317478083 2.1037363998423 2.71401401329543 2.46397517082284 2.60928077336203 2.15898704316611 2.5307319081352 2.33392951437377 2.57294233253538 1.94812529749893 2.64378716772726 2.59685252746484 2.52433931732613 2.16911183115781 2.07388111226661 2.63550408302855 2.86456251990057 2.68282670713378 1.69640900243074 2.4271539791788 2.61993998360292 2.96593313075098 2.70675061040215 2.82773640615734 2.8225657234278 2.71792184468483 2.49689790183687 3.03501082863456 2.80942988438792
"D21S2088E" 4.34902160588158 5.87690073960935 5.212137217835 5.4428055523334 4.8373521279007 5.30120270351811 5.09584252742888 5.13297120512572 5.2054704675065 4.99121809233208 4.35247122640139 5.10326967981801 5.90820713139005 4.59753066796742 5.2371125836947 5.52482430897556 4.5494917400136 3.96319247048547 5.60501681250296 5.65835758138966 5.81559739591165 4.78699151517029 5.04203196970538 5.37420903785525 4.74782053402419 4.58441497254873 4.93959738535354 4.95296049600175 5.13623432154829 5.95408977241064 5.62767412949505 5.70846586976432 6.06255656755353 5.72963145704863 4.85947832404705 5.90099840645679 5.09694644533637 4.11279947908442 4.76697353677919 4.46673376387265 5.4823744422571 4.99049981740042 5.18318965084111 4.50856994472637 5.36926341386933 5.12300230325819 5.27578142290546 4.92848027936948 5.26370661673386 4.54972742243957 4.83888361934557 5.49914653115716 5.05956320760758 4.41796036353311 4.49872679426048 4.85760094216994 5.81628322956737 4.69988557899437 4.66100196551896 5.1268334305286 5.34442676363402 4.72389366154336 4.88794779882101 5.35077464033242 5.29102346735225 4.97807073869513 5.31941841113213 4.96981505846713 4.94580047520922 5.3925737922227 6.05868737011758 4.77962702393981 4.78224017925137 3.50590285785346 4.18464867595428 5.50593744192516 5.93769251594067 4.36916827938562 4.70156840853866 5.09182512958767 5.20742798061074 4.70716253024046 4.74071097382951 4.27530432564822 4.67064819746411 5.41779406928943
"RP11-474D1.3" 1.93362630781756 2.37305778793347 1.83459574143544 1.36080813445566 2.22247170889948 1.95321072978155 1.67189147686478 2.64921166261285 1.40708716217901 1.62214117359236 2.07194892513718 1.3836934419748 2.07538906236308 2.28654177275746 0.383792987899016 1.66390440304721 1.65445592489766 0.566001307241456 2.04150128918799 2.56337923864401 1.86558367926384 1.68235414067777 1.58121589463987 1.39880065187832 1.31751051952473 0.885037595261929 1.19122020436277 1.48574643925291 1.94546463036246 2.22477263142876 2.19326435584747 2.24105435318484 2.61761700475458 1.11443135198869 0.366647166424623 1.87974334060297 0.956619507441354 2.58008165006023 1.52728227144635 1.81429389745405 2.10459870423473 0.530375741043892 1.28666707754267 1.06837260234928 0.581569076831344 1.46839656779558 0.98325152644935 2.91188804164827 1.72089764100719 1.50242760553221 1.76977123783032 1.50506230694819 2.75336627379394 2.45709060518516 2.01454874890515 0.951688739126452 2.05888394523018 2.0556338755717 1.55133551193503 1.35399629841226 0.551464167745317 1.97365565067753 2.0150171083759 0.976070481261969 2.16639532792902 1.3493609415312 0.607067807646805 1.89719572702906 1.71153697204531 2.45727662382168 1.6193404474067 0.41749390457674 1.94303064073372 1.3555065375008 1.48712152321996 1.89263519220247 1.36985556040163 2.69098261215169 1.53751714501534 1.61681103893635 1.2864058375236 2.34508071634355 1.9517110412335 1.85601776357117 1.94472463471265 2.05965590370818
"RP11-14N7.2" 19.8585779111164 13.1010918405201 10.0721548133772 15.4746696523245 13.8260116800416 10.3728527868233 15.3995651655169 14.7526710804565 14.4126008845515 6.75250661355786 16.2872040768079 18.1518356274868 11.4557780323875 15.7468553458072 21.4629176639033 15.1605203439242 10.7476644759403 15.818233575426 10.452823647577 9.42735351198103 12.9072474979201 13.970541729515 18.1996644199183 14.1230176917164 12.8754599835279 14.8287796142745 15.8489921976968 14.6363943068034 12.7171061712983 6.7100567907001 9.92607470280693 14.3083669325575 11.23753660565 14.5417509850638 19.0915273633087 19.2766706802346 13.7766317460281 9.71069591968053 22.6143836039188 16.4644898327769 8.98971933491671 11.912784196448 7.43976991277303 9.68987306264835 11.2275257849664 14.3685365257941 15.2827764193343 9.44373512429983 16.7825730258777 15.4544175349045 12.0952240239248 9.97418038797081 11.6134627895592 11.3123767558491 17.6505694619304 16.8926437598908 9.86126923806088 16.6349352322523 19.4174618799769 17.0381158194967 17.2908225103296 15.4686838407355 17.665804154574 19.5311660085531 10.345455710776 17.0127231984502 11.2599038876423 8.64716793296165 9.50243194029085 7.57056619910243 7.06268654261567 16.9699726741861 8.73010149052231 17.4259949072931 16.8059101502487 9.39496504155182 11.5232585067372 9.89790970327435 12.0147218922194 12.8865999566068 16.8374675484679 14.4426718492508 12.1782661473038 9.7257236604813 14.222232470156 14.035570391977
"LINC01116" 8.13992031967374 8.90972867062976 6.70795782999586 7.58385076319574 7.25866432021464 8.15865084316061 6.4507280731023 10.5238464914704 9.29152005150057 7.11562585568159 7.9698478857785 6.90247394001009 9.087951052876 8.78212494419788 7.89506075011031 6.8624225039131 7.08363261416175 9.67490431833325 9.30614126104899 6.47040420791999 9.41122842421559 6.98097022711807 13.2977599928947 7.49245151217934 9.11054602268677 9.95699071488616 9.57096513548405 10.9495673624283 8.97653078595546 5.2679364968449 5.88825018797097 13.2429167880014 8.20917405123581 8.53944551655183 10.8789324549537 7.24406626564739 7.1122770373137 8.19376665408867 8.57350789128968 6.48899714498242 6.67310661381361 8.71032437367311 4.3634353511954 8.0309591370716 10.8364336094192 8.13072255688557 9.43759011967744 6.75922692793737 15.6264411349868 9.80686409930827 6.62261102478708 7.36899925956187 9.48340059594535 7.90698807628976 6.57001612226433 9.85037295112447 6.94958862767027 12.883686793719 9.07864060860816 8.1024304989058 8.78081132158865 6.96946517089177 11.9134142077448 7.36415359965372 7.94475634388109 11.0049735685048 6.04722318568988 6.22227144879757 7.39820430161256 9.44374711052353 6.70380375396089 6.20017417455245 6.46487190351497 6.74861299197323 10.3825466416733 7.43515146781858 8.59130830431229 11.0949584914562 4.28810142078163 11.0238290999737 6.9498517424727 9.59630485550025 3.86568781562742 7.56083766092444 8.07602113373517 10.8032461059085
"LINC00671" 1.74397095025356 1.828758222011 0.817230104593158 1.92588718861415 1.19609931386581 2.19130657028901 2.27872703327591 2.01160684089922 1.78174747088424 3.20348330516788 1.34438664104447 2.01719505247459 2.35800139809265 1.4548404727071 1.47301338773842 2.53185804718962 2.1400432349918 1.95960607134736 1.80325467426934 1.4034605648743 0.651302428605019 1.6942569301089 2.50221176849259 0.498077519179027 0.289509750736459 2.21783668041639 1.14610341297578 1.2421197388876 1.80755293436548 2.10975610374887 2.65752019043836 2.45752993744421 3.20490366701431 1.46640878214577 1.82608419650766 2.0058552048997 1.94824064064413 1.83636328763032 1.2637972155942 1.0081127822854 1.48202020377585 0.578842225181126 1.27401194100944 0.561401883630543 2.34831562746566 1.67991555951942 3.06302151312309 1.35818525449925 1.34511607578557 1.32230601055401 2.0597481787213 1.78471864506809 1.95097373519827 2.50031996236536 2.48806633138756 2.08705239158638 0.688815873587287 2.15613304746163 1.47105660051934 2.01705828234555 1.11014528750424 1.64652000717972 1.0577445609806 1.57731976109755 1.54504127823515 2.11258681276749 2.14999107225826 2.28633574967205 2.01653546898758 1.87620532204386 1.62107884883735 2.85033109647136 1.80850629799455 2.33406973961732 1.96373368414216 0.576627526574374 1.39491008290475 1.80353251538578 1.3874863256044 2.35635420511386 1.93058435006906 2.45522893746447 2.31165571352841 1.65193169453972 1.60561356002512 1.45294558887441
"RP11-266K4.9" 8.89507912073299 8.61643328960627 7.80697049844535 8.93967932799401 8.77617715993369 7.7369919488419 7.43160148020535 8.41656025183634 10.8197969119915 7.02752058717552 9.26709257884315 9.69212389656247 9.19998729835845 9.56839799318132 7.86491567592906 6.42303869155585 11.3620865372871 9.16074407269681 4.42786688511208 9.70194171633132 7.47821180372846 9.94999608489873 8.22444219448198 10.9579493778237 9.58751506290274 6.69615678390024 7.41611776067937 8.78682070580302 9.04309350108021 7.02049513816678 9.48995126816376 9.30788437543368 7.41226950671972 7.80204097383185 6.93926251065806 9.3635835670653 8.02534073015699 8.62181088651666 5.40669125319848 7.72079464867218 7.84623995522133 7.38310664754556 8.40192516178937 8.2034832415883 8.48535499343916 9.61902512088073 8.25552360282082 9.45179439643369 9.30997453010093 8.75433408688254 8.36142093471909 8.93737283899665 7.16851835313246 10.651224896314 9.06267464265923 8.71461819263744 7.81331511281552 11.7131714856078 9.42378354128467 8.3866734678528 7.3995474621663 10.3814634291769 8.62268751025472 7.95907390519064 6.66371796948106 10.4688566576876 5.9659213385233 10.3293565357804 8.54228762112213 7.6932112011249 9.77215657779113 10.0950566774461 8.37054159216015 11.6549594616766 10.2216605608458 9.5857081906169 9.86334791731092 10.5419959154528 9.53861549410265 9.31333949811922 8.910637687657 8.80454521587379 7.63804533093333 9.4066907089877 8.45039948564483 8.89752668776373
"RP11-262H14.4" 3.16151994712125 6.43668006296715 8.59383796421044 5.57259235077282 6.53272424343662 7.38565552172959 5.28339085421392 2.88614956997787 6.72299738990267 4.36253359521531 6.92447928357758 3.26922190796045 3.77097992964296 4.1060300269258 2.14771016947927 7.19790353121936 4.20155149051422 5.54928094760929 6.48048426127492 7.69721310513611 6.37830326440981 2.61992552555214 6.83532389219232 3.66721731030743 7.05665842432722 3.713208055402 5.81144870262819 7.6250340446789 3.05099912919788 5.79712531909083 4.77974448663734 3.83723867709809 8.7693535074665 6.19251684388272 3.67113150795023 2.13772190347285 5.66394014498653 6.28108076559298 6.09026234766452 4.56932982522565 2.51531277411693 5.94718697789878 6.18419239595983 7.14195339653086 8.10908207834649 5.90877055914912 5.58451387070313 8.45877843160064 8.44528758972435 5.89388117649156 2.82198211695298 5.46308418097417 5.03739051456846 3.26939739087326 6.81508187018699 5.08616754695801 9.380099001262 3.41485908754912 8.04879690567516 2.47214141219623 2.11019182121252 3.38743083367974 5.10186523806286 2.04274124970431 6.00216911915872 5.71610933063098 5.99219432529785 2.56423935754912 4.25229662216304 5.5069617293538 7.01576543242699 5.55991414753072 1.07744452358326 6.52261921132578 2.90797343154988 7.69841123698563 8.85040402233638 4.99452103199783 9.06145261266259 5.68233297978764 4.50196625531672 7.17467468491298 7.04880568898014 5.33158151286939 6.38299642925832 6.25505829900121
"AC093323.3" 10.7408203799068 12.2198089217346 11.7292891818889 8.057189606309 10.965230553751 11.4481950853347 10.7635754290707 11.8090547144271 12.0471127951739 10.7718702817867 10.4484963195009 11.5240231215627 12.1276198546934 10.7200542113924 11.5931074574249 12.9398237352946 10.5662093861249 11.3233716813073 11.0385897541471 11.2028515912622 11.4791118704316 7.84174193414274 11.8095180384134 10.8619500834 11.7252971168854 11.9714044143311 13.0885713004647 10.6705324623637 11.7121894489693 11.8727649502597 10.8102006310453 11.1523437296813 11.2674972775775 10.6674048225402 11.559448411843 11.8625300980091 11.0991362862589 11.2253589599037 10.098207840906 10.2401584791042 11.3712855602738 10.800287743182 11.9897287229805 9.49337956141396 11.415267081462 10.3398772994563 11.3580099841464 11.7885490876901 11.9983836186695 10.8293546027567 11.1459001115695 11.1028290332245 10.8470708611275 11.2668731630857 10.4094653604138 12.0188670811011 12.0591880433264 10.4108796222353 10.36763805998 11.9049603569604 11.545566241079 11.0677272016524 12.2222666169092 12.3877222341405 11.2857729155441 10.5617534568116 11.9545374513162 10.4799805040605 9.5693554506255 11.5352793492897 11.7379119242049 10.6060260861296 10.9036670659578 11.0975529336691 11.2629536272088 12.1045538964952 11.3287809063714 11.7914953139161 13.0262966869279 11.5157530775947 11.8329727568816 11.473058915088 10.9929372025831 10.3276254744934 11.0981236908424 11.9211114307547
