"TCGA-EB-A4P0-01" "TCGA-EB-A4OY-01" "TCGA-EB-A4OZ-01" "TCGA-EB-A4IS-01" "TCGA-EB-A4IQ-01" "TCGA-D9-A4Z5-01" "TCGA-D9-A4Z3-01" "TCGA-BF-A5ES-01" "TCGA-BF-A5EO-01" "TCGA-BF-A5ER-01" "TCGA-BF-A5EQ-01" "TCGA-BF-A5EP-01" "TCGA-HR-A5NC-01" "TCGA-EB-A553-01" "TCGA-FW-A5DX-01" "TCGA-EB-A550-01" "TCGA-EB-A5FP-01" "TCGA-EB-A551-01" "TCGA-EB-A4XL-01" "TCGA-EB-A51B-01" "TCGA-EB-A44O-01" "TCGA-EB-A44N-01" "TCGA-EB-A431-01" "TCGA-EB-A44P-01" "TCGA-EB-A42Y-01" "TCGA-EB-A42Z-01" "TCGA-EB-A41B-01" "TCGA-EB-A430-01" "TCGA-ER-A42H-01" "TCGA-D9-A4Z2-01" "TCGA-FR-A3R1-01" "TCGA-EB-A3XD-01" "TCGA-EB-A3XE-01" "TCGA-EB-A3Y7-01" "TCGA-EB-A3XF-01" "TCGA-D9-A3Z4-01" "TCGA-EB-A3XC-01" "TCGA-EB-A3XB-01" "TCGA-EB-A3Y6-01" "TCGA-FR-A2OS-01" "TCGA-EB-A3HV-01" "TCGA-BF-A3DJ-01" "TCGA-BF-A3DM-01" "TCGA-BF-A3DN-01" "TCGA-BF-A3DL-01" "TCGA-FS-A1ZN-01" "TCGA-ER-A194-01" "TCGA-EB-A299-01" "TCGA-EB-A24C-01" "TCGA-BF-A1PV-01" "TCGA-ER-A2NF-01" "TCGA-GN-A263-01" "TCGA-ER-A19K-01" "TCGA-BF-A1PX-01" "TCGA-GF-A2C7-01" "TCGA-EB-A24D-01" "TCGA-EB-A1NK-01" "TCGA-GN-A26C-01" "TCGA-BF-A1PU-01" "TCGA-ER-A196-01" "TCGA-ER-A19T-01" "TCGA-BF-A1PZ-01" "TCGA-BF-A1Q0-01" "TCGA-EB-A41A-01" "TCGA-EB-A57M-01" "TCGA-EB-A5SF-01" "TCGA-EB-A5SE-01" "TCGA-D3-A5GT-01" "TCGA-EB-A5UM-01" "TCGA-FR-A728-01" "TCGA-GN-A4U5-01" "TCGA-EB-A6QZ-01" "TCGA-EB-A5VU-01" "TCGA-EB-A6QY-01" "TCGA-EB-A6R0-01" "TCGA-FR-A726-01" "TCGA-GF-A769-01" "TCGA-IH-A3EA-01" "TCGA-EB-A82B-01" "TCGA-EB-A85I-01" "TCGA-EB-A82C-01" "TCGA-EB-A85J-01" "TCGA-BF-AAP2-01" "TCGA-BF-AAP4-01" "TCGA-BF-AAP6-01" "TCGA-BF-AAP8-01" "TCGA-BF-AAP7-01" "TCGA-XV-AAZV-01" "TCGA-XV-AAZY-01" "TCGA-XV-AAZW-01" "TCGA-BF-AAOU-01" "TCGA-XV-A9W2-01" "TCGA-XV-A9VZ-01" "TCGA-XV-A9W5-01" "TCGA-BF-AAOX-01" "TCGA-YG-AA3N-01" "TCGA-BF-AAP1-01" "TCGA-EB-A97M-01" "TCGA-BF-A9VF-01" "TCGA-WE-A8K4-01" "TCGA-GN-A8LN-01" "TCGA-DA-A960-01" "TCGA-ER-A2NB-01"
"FLJ22447" 5.83461309339687 5.51197334145723 6.30040826574429 6.07174423676689 5.8599423323946 5.46917971686674 6.17775162046408 4.59327861409074 5.21729284178245 5.04124336115499 5.13834106055202 5.28301450775139 5.24351282994286 6.18708151472005 6.42000712579175 6.04199108080929 5.48537102046879 6.75495298623753 5.84613628977972 6.02489238599097 5.75347213578722 5.47813941098161 5.78998006055029 6.14131853601298 5.7204477222139 5.25875815757421 6.02431152690628 5.31379625550548 5.55947075810152 6.42404934771872 5.68612714808359 4.74833308972641 5.61954813735438 5.45430785333522 5.50557534127495 5.8590223343036 5.276070106371 5.79790069118886 5.99484070151873 5.9031846466742 5.15549094765411 5.7433861402904 6.2308619812535 5.67542526414354 4.45191227836656 5.96110255845516 5.85088370094807 5.96590888697522 5.30675741274508 5.32267583901872 5.1077206287442 7.04876768411083 5.1190385604746 5.10983541661076 5.71849805126044 5.93880707489864 5.46057900472055 5.84634437502225 5.09328294076977 5.64719171312881 5.99497035164986 4.67845638951609 6.2859798355412 5.71925243806643 4.53126020599463 4.43095374324144 5.15703592990455 5.45619723595905 5.70345152812006 6.34101938447188 5.73302586905466 5.60804139444648 5.71297572711856 6.32888238004006 6.54733253250048 6.46079720219789 5.87242973346656 4.81729255583268 5.43920036694909 5.57278936794022 5.09676407039358 5.35195296812979 5.46562125820656 5.57937961042312 5.81440559668861 6.06615781753745 5.28568095777753 5.64017793193567 4.73108439841479 5.99561871491152 5.86312559883423 5.88799793691796 6.0006259372854 5.7298258998246 5.19303443935326 4.87453243197778 5.65703571414665 4.63400619335534 5.24101082218253 5.86105599750288 6.25815073205174 6.02897667647263 4.60129136812595
"KIAA0087" 2.63783976226571 1.65202380170976 2.54943295078388 3.29574435113157 2.73796067164477 1.60300159522861 2.80278211720501 2.77752132208064 2.8139195617179 1.90045516480329 2.49689379493109 2.32991413534436 2.80582171927111 1.9433819388697 2.54934214964058 2.92106634699491 1.82902855448157 3.16431718604711 2.73794519711407 1.95507579690592 2.09515220236788 2.88743554262831 2.38838793558631 2.87523585251195 2.65354159218002 2.39336241595463 2.72569663123451 2.60563932615999 3.07184519562445 3.41596974804851 1.18560462567637 2.21855406107109 1.71616253721958 2.53690071444356 2.66785236262909 2.42548760770437 2.5014381458315 3.09662794561784 3.21840456506495 2.03552066597739 1.90388623314267 2.74943040866321 2.62448419674906 2.18387767893055 1.19136997247613 2.5265082334584 1.98315799426679 3.06117731346394 2.4997566776732 2.0243866861333 1.86745995055755 2.82956241884195 2.19920875642663 2.66819741671483 2.56951161056798 3.06990152468737 1.53924546187558 2.49596572159493 2.32006389999573 2.08123588913248 2.87452563037199 2.54863906225013 2.36986721348544 2.70975303294771 2.71585330724751 -0.693147180559945 2.15926200737484 2.3067865244982 3.16386031956769 2.66527016286382 2.77125523069262 3.34641759493075 2.3473437145035 2.05781142941089 3.36139310903483 2.51555250942938 2.87547009642146 -0.693147180559945 2.03582209918442 2.08936401866729 1.83810578756968 1.80263146102934 2.39961853142819 2.5259715124795 2.66205879502486 3.10542072520167 2.11615916236204 2.23739360911131 1.44041421697002 2.92414664132733 2.87194296502821 2.40402338041905 3.02978918375 2.47306182606304 1.79779606060363 2.19462137971715 2.28786615442239 -0.693147180559945 2.5052449606181 2.92506401090393 3.04212259548971 3.16886871725264 1.4963022916059
"D21S2088E" 6.73310637398801 6.64803972224911 6.077537028606 5.10028017528093 4.90498767816969 4.9530699759706 5.27290935544315 6.2389214195773 4.74478471230044 5.5592659629818 5.63163609832792 5.47596688101009 5.47607109806851 6.9490067000914 5.16120432504185 5.92645019496779 5.02126669890725 5.92098210308166 5.97662787522817 5.09312558174793 5.02236888275419 5.12060948490838 5.18863253521048 6.00510170260305 4.26264261598974 6.81302794099432 5.83792703437457 5.75796806148457 4.84218622257541 5.95788329261018 5.95707056785467 5.48218719980866 7.40863113582369 4.21197011446543 6.01073013486454 5.16926830356878 5.16501492061024 5.45011750388521 6.35781819637985 5.24838102492906 6.82605347335376 6.68937946292286 5.56272604119485 5.50140635976436 5.53360878794347 6.18958669273268 7.12380836204102 6.32100543931946 6.1922150364365 5.21122611859005 5.51044169651685 7.25613628926191 5.78533742029963 5.25651296312014 4.66115197312397 5.10676848907635 6.0822425477999 5.59076199530816 6.81819421037561 5.5133489684631 5.11728884219868 5.6324301581117 5.21974010919551 5.33691871953252 5.92593805418836 5.04313323606569 5.63037174109987 6.37825892120271 6.1059574494453 5.38111394829911 6.10763438383384 5.92620007531369 3.61002971886094 4.70579539073188 5.23654784901463 5.24321042470093 5.23426805286415 6.47896057883679 4.85516144909319 6.41127131241412 5.85303926381645 4.96066127920885 6.13765865886646 4.56768322921657 5.14311111677884 5.50536023950044 5.59066523237324 6.62874539739239 6.48961914753764 6.78083174627005 6.31948635756783 5.44446546244546 4.52922390289728 6.21617313875908 6.33777061931799 5.92285654455307 6.64835105299111 5.65667436880972 5.17550449674388 5.86797329437451 6.48823266207141 5.94969978899145 5.66617151584424
"RP11-474D1.3" 2.16417733951797 2.98115968914456 3.42280431886393 1.75886357074517 1.95744064522797 1.67896037822551 2.33589796158376 -0.693147180559945 2.06598059482337 -0.693147180559945 0.886948236176895 2.0009519761531 2.70257432060981 3.12813944945383 2.05125835784408 2.72205198349983 1.78859593452358 2.57075059485462 2.242428361239 1.37924274879996 2.54364017239496 2.54781743789006 1.74516791544538 2.0582037687993 2.30070838297974 1.37542902788729 2.13176926672453 0.977334664873003 1.83788792740023 2.58066625144085 2.0628085040788 1.74609553188528 1.07992746975669 1.82653296875557 1.70483407893545 2.80134212653066 0.58168278810593 1.69616809309254 2.06028326206146 2.0939971204231 1.53669246598206 1.9607956880287 2.02904312349842 0.586576666871548 1.19291194789398 1.6655796506998 0.774884489655749 2.18043316309462 1.27193479446089 0.244189629645663 0.877145534918157 2.91957945293494 1.96697926733208 2.02093887772451 2.26531570182959 2.31138399450768 1.37871214052351 1.5928117341551 0.781262336557401 1.26235781846288 2.1427036938994 1.60239804906119 -0.0811498101216456 1.82746216383852 -0.693147180559945 2.32631973432844 1.91797546490739 2.53977104142133 2.24242024204932 1.96415433206459 2.03821685315655 1.6234021402416 1.88750840939824 1.52128459510425 2.50471545384777 1.86345966684074 1.51342189743424 2.04284016283394 1.60409394615927 2.20472182975865 1.95817318182234 1.70417704263795 1.61604986126607 0.919496085173223 1.69380170111744 2.19089143007812 1.73216647143938 1.01956450777679 1.42077891109292 1.4045308358086 1.57220054965478 1.63244597298542 0.800221936497651 1.8251514496176 2.63397021814584 0.709743541097683 0.220088505255927 0.690028641281521 2.15656502365526 1.49523628172116 2.42629046457675 2.5296573685924 2.91083874102671
"RP11-14N7.2" 7.54961128632564 8.85447349176491 7.10257118204759 6.00394419736188 8.32152352107066 7.1515699673556 6.90022995770238 8.22894319316745 8.19233772840035 9.14903605261853 4.50636169105218 8.00788579664654 7.22341709872089 9.09850023128312 7.48654361108748 7.97703276961117 6.23490217459516 6.74110453297869 5.96703350956356 5.50545398439051 8.7191251608081 7.02880061057686 5.40430439255971 8.98742043008241 7.51361188230221 7.41048887297218 10.0036972120271 8.32317350981882 7.21529795650553 8.24667659332222 6.19210093334325 8.41814905986935 7.41373923986025 8.20914612919251 8.57675933533526 7.07178463732917 8.80551960856448 7.84427268279759 7.96656467812392 7.72626363113898 8.42279271721479 8.26346732673034 9.73830672898972 6.80066234366932 8.73908981332987 5.71835037131799 8.21914266777338 6.36499356920599 5.81786002464225 6.59732666651306 6.9225896762204 3.9969527707345 6.9441730066023 8.35645148025373 9.96645992965571 7.10051038812147 8.74260751749272 5.87823136894167 7.26853561089017 5.61049004755757 9.23265549871282 7.09904348120171 8.30658200895057 5.76219030169641 5.35817426827746 8.83415162290037 3.72803605276783 5.73972988771203 5.89340511876898 7.32692109230963 7.48487487829123 8.14511081239309 8.33167584504003 6.24224360314656 4.70367100534085 7.72191281103776 7.07352285998235 9.45619461107099 6.29280394601042 4.52150715221569 5.73880702490625 5.9496848432525 6.35955529264498 9.0392163793584 7.39218886921912 8.18583988400934 8.50623329443448 7.42946312378927 7.88466931723645 6.97373036149499 7.80643600296221 4.92679380416843 7.92968397408501 7.4812390325648 5.79337775733943 6.00805604674417 6.31899523305208 7.73005004491832 7.9637821112686 7.35625061614003 6.53198006177003 6.68693319463295 8.14449786062278
"LINC01116" 8.50987218538911 13.0420784109722 11.882345256284 11.0282021902259 10.5265848052538 11.1980977095982 11.0516055548181 10.5826198203229 8.5546687366906 8.60957161039528 7.21016487163585 11.6383788562909 11.8030831802835 12.8036603940591 10.7691725327721 11.369502288745 8.29698433819165 10.5777974414162 11.5937158677276 10.1541951649833 11.9715813736077 9.34528429238463 6.62502933405972 11.3333600703065 11.6550196797016 11.0889881327901 10.7601427879593 7.43746203469789 11.668590098161 12.09273749113 11.3219454914143 9.79450310235278 9.36140312026914 11.8942607103782 12.2267640619064 11.1444188187566 12.1413724060997 9.66863209537697 10.5399600907448 9.82787480292799 9.902488068241 10.3386188765035 12.1522535500035 11.7416238038694 9.17638762863584 11.6799611004313 9.94632964667117 10.8938191700505 8.94680229380941 5.43681667651507 6.87659891699826 8.10005456108392 6.8357110034519 8.48743656445513 10.9073210135629 8.6936423695499 7.45112490463035 13.6853486236611 9.2740736556412 5.74273578292579 11.3845927436254 10.4640221328498 11.6153089047814 8.37452618103019 10.1364936848891 8.27424373780039 12.6654708599263 10.7520385154167 11.5967128049626 9.25909270624688 11.107080274678 10.9782716007389 11.1521054813793 7.60607482465186 9.94212363209909 10.0004654823199 11.582062413392 7.5751531977524 11.3292953387789 11.533650144335 10.1841847386653 10.2583356403462 11.1363329381443 9.59496145875128 11.270576713805 6.38070807974508 11.3041147095493 7.50481224143652 7.50382274106654 9.95700339949361 10.3743042162843 9.724811112973 7.41538420888795 12.3906942597709 11.2496082754184 8.486448856141 11.1704650410992 9.64441301652117 10.4009596320794 10.3000412728534 11.981374562302 11.1158061638371 10.9815971302811
"RP11-266K4.9" 4.2991258119157 4.87866438192302 2.89014616023268 10.4137743429191 9.34548579206449 7.29577097180086 6.40353203036753 2.51343907506316 5.74286171888044 6.72017909818197 6.85379127026909 6.69768006847407 10.6478377937626 6.32155190849401 11.1350704135951 6.68322760929561 5.80799305730693 8.17874989735395 9.53691007329028 6.25077996365259 7.3705418661243 8.4150139416861 7.97036737513307 8.47696353868855 4.53869228935913 3.25731767906658 5.5846352832393 9.04040370744452 10.6604986891198 10.3620190219968 4.04520612560467 5.18813640158078 5.47206918661315 6.57065041510074 5.64114037755604 6.47088118407074 6.30264001407649 7.04361993792265 8.42564466569429 6.07672254244399 6.55096747855471 8.37892569556033 7.6164211296841 8.0073367772568 2.14097149021358 8.90353038949555 1.45817583189649 8.44931446485941 6.35076018818809 8.07369417584698 3.21464729870995 4.65930888636546 5.46373676381765 5.28627061929485 7.53445846394704 9.13213341451124 6.03728153996298 6.29039345765161 7.17016476332933 2.83934224533016 8.49840481946255 4.0659983492907 4.4311991386288 7.19590199335196 8.53340511133256 7.21175499537903 5.61931030504932 6.82174152940189 9.77771967197249 5.91987855764171 8.89887182380773 5.14212630191201 8.25538723247415 9.88923630526577 8.14809105556048 7.70544549630806 7.43167945003026 4.24734943831277 2.44034931993999 3.30632198367928 7.12687453658735 4.84417324220531 7.05812554186929 4.91030668270188 9.46808263794396 7.1117045299642 8.3400173818959 6.94114434958672 3.7723528371552 8.76840908241451 7.40879317299257 3.79754191750243 10.2654983318124 5.41002823630569 2.42305914729905 9.60757450098626 10.1643775968785 3.05725700160287 9.43448087850077 7.11568321633131 10.5885176308188 4.32502677545857 2.09613421866597
"RP11-262H14.4" 7.34008863692572 5.76869389004858 -1.38629436111989 7.55693061615994 8.21405262613612 4.04722499417297 5.13548971339814 6.44424206101125 5.193005641284 7.32728875725586 6.99874913677087 9.29607909197639 8.82058194084214 7.12376569633581 6.1780557009506 6.17575697448138 6.40521942523056 3.79071711090706 6.79871313306159 5.74717469237593 5.92677369129576 5.35347734354809 3.66643082817128 9.07978488448792 5.06006406791573 6.41106393731084 7.76926407899937 4.73187545118869 6.41057554901952 5.07074789276356 4.1443628920657 5.9301848693085 4.18632932793883 6.4279850121377 6.59654791204768 3.45660139663207 5.53762564206453 7.28393338963497 3.40091382668999 7.24864636930094 7.58551924167223 6.76428220260354 7.68814038132166 7.74723350319034 7.08923092110656 8.138268342514 4.4667755791691 6.61578659406564 7.3676315951003 6.07529920558348 6.38869653256134 6.07657728179466 7.67387319611507 8.15401191620816 6.02961320016433 7.20722895923887 4.29652863676584 6.50224498979621 8.0018565400631 7.26974187701389 3.14628846368435 6.18005946313497 6.72212777131324 4.05669104601377 8.28490645263875 2.79087725588646 7.6455314327102 3.55255996372964 9.5083142804727 6.52689704959147 7.69087072738556 9.08096924016544 9.14553274681892 6.58678612065999 6.72360846173658 7.17164120697844 8.16153726083675 3.91176037864456 6.91716237773759 7.05246179600129 2.39512406275294 6.51864977445915 3.24733415931125 6.27622434850514 3.4576254907404 7.47045372706839 8.78627345292539 6.93722090963802 1.67462285894081 5.92025213416164 7.81061877970687 2.50055936285788 5.8293059443104 8.6491484266574 0.514645747349036 3.6103066172024 6.72097904798922 8.37824178429199 2.01460623800731 7.78235390562627 4.08017203121916 6.79737039209393 2.01391481502379
"AC093323.3" 12.5226040741653 11.0227341824309 5.61642935923212 11.7082887635447 11.9058449569652 12.7914510100055 10.812580484995 11.7068274019903 11.4987210232505 11.7045138637851 12.524468183166 11.7486599911498 12.4498155919158 10.7159278889671 11.1884947690437 11.5392498903507 11.4370935767123 10.0957630587548 12.3268816128439 10.5290336599987 11.4421135034462 11.4597731279813 13.5524422345378 11.2604536698136 12.043944057357 12.1230061574375 11.8424949639457 10.4860328503743 11.8388623030717 11.6649065575355 10.9517179146229 11.7417140705181 13.0388030162134 11.6094354132574 11.2987950232131 11.9774835709122 11.2495185233128 12.0173445916649 11.9272266948208 12.1747566184537 10.8086562576398 11.4654028032616 11.5362059237548 11.4089189860227 11.9502806747901 12.0275704899947 11.7758033692195 11.8661838573764 11.7296450219279 11.7088488751889 10.5990680228838 11.6790121353294 11.4885376707608 12.3878323663574 11.5123785352657 12.1909078737978 11.7950550464576 11.0096023927562 10.5708064414644 12.1715346792001 10.801663890664 13.001445701665 13.3816778141522 11.4314017221875 11.9405810219523 10.1634355170661 12.0290345491449 12.3987108982209 10.9156719246163 11.5942888785564 11.7580228927705 12.7146214049323 11.4215198766749 11.9676201891383 12.0047215614642 10.7463794360573 9.77854260392254 11.5473319087079 11.6065880366716 12.138260721987 12.2222477801353 12.7463332896605 12.0119766835766 12.2122008269711 11.1719006054406 12.3484512903162 10.9443341215039 11.3090894739231 11.7883152457116 13.0053809122542 11.0407933614433 12.7193123242528 13.3054296486631 10.8659157472458 12.0700077514542 12.1669408779712 12.1163511853252 11.8625208742174 11.1975614050057 10.8354231967334 11.8966238183195 11.3768334386628 11.3852814853977
"CMB9-22P13.1" 7.70648664788319 5.98198700187217 9.19007057844542 8.34278863959156 7.9726730231235 6.43909131604861 3.44640193084563 6.35842155429964 8.94537532233629 3.99815178447775 6.08967439152174 10.6526361589587 3.87508265953564 8.70811200528103 9.00450319869198 9.80719877226921 4.96572987777263 6.56365814977775 6.61508787633456 5.84867236113795 7.09776593696121 6.19165484776637 4.49543237733666 9.43808836227248 2.12270867782848 9.35122380745693 6.05807122483189 9.22662498090885 8.4121416454466 9.29812570966656 2.64323496165598 5.49137919114032 8.47935119411826 8.2425378889085 2.3449276603403 9.02203938365366 9.24757534461971 8.59253269531137 6.56933935743907 10.7513803124264 2.72755681977484 11.0018111051785 10.0028208438205 8.84613271167016 2.2496099551421 7.59290422454293 4.36153755278068 8.7490203934771 5.98420886812206 6.43995950718989 7.71340368729406 8.40555785916944 6.08764801571682 7.49056224752663 5.86409056865623 4.58691863911757 6.71938701771002 8.19793595623857 6.97173668401827 9.46580205648036 3.92834275975913 9.01829221112144 8.59438406473111 7.71371699857428 6.48786410874352 4.51368471366407 5.66075445578615 6.29583414489436 6.49648063422301 6.74519025171678 6.26293501352056 9.72329368634546 5.52684900961243 7.05449060941542 8.47598339468932 2.98580369710121 9.50028507112584 5.00617152588263 7.30085779743425 10.4521706468317 3.0649048872069 8.89305519530456 8.00843131613903 4.17362226207339 9.73035275839618 11.4395460052361 8.3482575976453 7.54399495737911 9.78454338383024 9.100878894449 6.59682525530181 3.7652625276222 6.91883104319426 8.95570689931983 2.37063936767569 6.97084832793464 5.55652099810331 6.842376956286 4.17328070332122 10.4374718437444 10.1433314801105 4.98757469027952 5.54524338064241
