"TCGA-YZ-A985-01" "TCGA-YZ-A980-01" "TCGA-YZ-A982-01" "TCGA-WC-AA9E-01" "TCGA-WC-A884-01" "TCGA-WC-A881-01" "TCGA-WC-A87W-01" "TCGA-WC-A885-01" "TCGA-V4-A9EK-01" "TCGA-V4-A9EA-01" "TCGA-V4-A9F2-01" "TCGA-V4-A9E5-01" "TCGA-V4-A9F1-01" "TCGA-V4-A9F0-01" "TCGA-VD-A8KM-01" "TCGA-VD-A8KG-01" "TCGA-VD-A8KE-01" "TCGA-VD-A8K7-01" "TCGA-V4-A9EJ-01" "TCGA-V4-A9EZ-01" "TCGA-VD-AA8N-01" "TCGA-VD-A8K8-01" "TCGA-V4-A9F7-01" "TCGA-V4-A9EH-01" "TCGA-V4-A9EI-01" "TCGA-V4-A9EF-01" "TCGA-V4-A9E9-01" "TCGA-V4-A9EC-01" "TCGA-VD-AA8T-01" "TCGA-WC-A87T-01" "TCGA-VD-AA8S-01" "TCGA-VD-AA8R-01" "TCGA-VD-AA8M-01" "TCGA-VD-A8KH-01" "TCGA-VD-A8KN-01" "TCGA-VD-A8K9-01" "TCGA-VD-A8KF-01" "TCGA-VD-A8KA-01" "TCGA-V4-A9F3-01" "TCGA-VD-AA8O-01" "TCGA-VD-A8KI-01" "TCGA-VD-A8KJ-01" "TCGA-V4-A9E7-01" "TCGA-V4-A9E8-01" "TCGA-V4-A9ED-01" "TCGA-V3-A9ZY-01" "TCGA-V4-A9EE-01" "TCGA-V3-A9ZX-01" "TCGA-RZ-AB0B-01" "TCGA-WC-A88A-01" "TCGA-WC-A880-01" "TCGA-WC-AA9A-01" "TCGA-WC-A87Y-01" "TCGA-VD-AA8Q-01" "TCGA-VD-AA8P-01" "TCGA-VD-A8KL-01" "TCGA-VD-A8KK-01" "TCGA-VD-A8KD-01" "TCGA-VD-A8KB-01" "TCGA-V4-A9F4-01" "TCGA-V4-A9F5-01" "TCGA-V4-A9F8-01" "TCGA-WC-A888-01" "TCGA-WC-A87U-01" "TCGA-WC-A882-01" "TCGA-WC-A883-01" "TCGA-YZ-A984-01" "TCGA-V4-A9ES-01" "TCGA-V4-A9ET-01" "TCGA-V4-A9EQ-01" "TCGA-V4-A9EW-01" "TCGA-YZ-A983-01" "TCGA-VD-A8KO-01" "TCGA-V4-A9EO-01" "TCGA-V4-A9EX-01" "TCGA-V4-A9EL-01" "TCGA-V4-A9EV-01" "TCGA-V4-A9EY-01" "TCGA-V4-A9EU-01" "TCGA-V4-A9EM-01"
"FLJ22447" 7.63793364901052 6.65138760799303 4.18647837280957 7.77113255268925 4.09119262523968 7.94987890926498 8.32610413151253 6.700348276701 8.29590829258077 6.74233368733699 6.26766796144305 5.94890385721571 7.99247685056265 5.4188647317181 7.63788762217333 6.56812848479138 6.52774330433347 7.83854144584803 7.57449461965151 6.07943449029754 3.45251825757086 7.33234732363123 7.05981714292024 5.60834979909867 6.82289444238408 6.22398389477122 5.53612104456552 6.7936359324647 9.3081338029009 6.7903220031843 5.52052437411445 6.8956500932982 6.37444106292055 8.26094769368469 7.29134393149649 7.70325126251964 8.38821504368611 8.1467946680899 7.31693519147889 5.76798094657584 6.88107407266056 6.55302090039439 6.37698991776913 5.05762876959836 5.92057135048043 6.30932401108124 7.78256065053978 5.46800681566144 7.01039110708777 5.12926071644048 7.16317043669221 7.88673863328333 7.40226330677228 4.44160922659721 5.56828432363968 4.06834746423117 6.83856794469341 7.38181366439641 5.67661386434586 7.23347153573128 6.06756763900479 6.27019285831394 8.5038709026276 6.37600096226356 6.88889001716059 9.02066690367727 3.29740069223057 7.81688992457942 4.53173903010158 5.38998613995423 8.19802815032019 6.67889998853456 7.8931654255498 7.5100708791268 6.41683240012276 5.05588796417944 7.71258188614952 3.11189509713391 7.64664088681815 6.61932979542232
"KIAA0087" -0.693147180559945 4.51344405750076 2.16175860516158 1.85562758447606 0.443173365539737 1.17064382992803 2.26607254394334 -0.693147180559945 2.76098799254616 2.46885128162823 -0.693147180559945 1.36850799551394 0.178185245564163 1.53637010322846 2.12423019916996 0.718669727793462 2.27273204155031 2.04726598258466 1.89271711227396 -0.693147180559945 2.04102385831973 2.25925966986713 2.20015737562453 1.77419623960532 1.95033570970031 1.63275452085035 2.32401923638045 0.717253098369033 2.42419387858835 2.53805114798193 0.960036484009519 1.10212814302053 0.583537923794267 1.90882297231997 1.75213382419047 2.18518786286419 1.99682577917876 1.78813816692845 2.37132717326337 1.50062097830521 1.61757663649599 2.13305289062258 1.59916257636648 -0.693147180559945 0.417672921396398 1.46894980295467 2.41603741319823 1.52270324857231 2.18713839416565 0.48753811032205 0.378008652951232 2.12372874901126 2.93383951646734 2.97899558421179 1.66363426412992 -0.693147180559945 2.14919432303178 1.81578246938895 1.23879432769276 1.31628873047969 1.69992451182983 1.72895050880776 2.4473025508452 2.17114787639565 1.1197385808919 2.13471677230155 1.39281537326275 1.67296561788657 1.78485770508908 1.40405356274001 1.53484632188077 1.34296119957176 2.46114736607064 1.98922948157638 1.73284728808207 2.03998531337276 1.56312035112354 -0.693147180559945 1.46306691042257 1.57688711799986
"D21S2088E" 5.98131258094962 5.35386450408781 5.64336674147609 4.76246444318677 6.19892421107587 6.069354250861 5.67838248338127 5.85235536142959 5.49674756251057 5.06187481669496 6.21863951004342 6.04801645399168 5.56015673484275 5.71638842814852 5.41597197729625 6.36583899458758 6.21584569324097 5.27658111949624 6.3393612427957 5.36435253951803 5.7475735618743 5.72913501316644 5.71866213975139 6.17412979617544 4.6445174308202 5.45271867876187 6.27284896866005 6.27088546813712 5.70157089306116 5.89805464051731 5.29847415772822 5.2791477011998 5.42106897916085 6.15390113108918 5.62037698905948 5.19970718330054 5.44350104879232 5.87667213378475 4.5806433091351 5.9386999125401 5.39876004833842 5.42822917529112 5.27516955406704 5.61500229208096 6.3795544144493 6.31384511025442 4.78597561078037 4.92059716124657 5.25023243064541 5.74838104618162 5.94353553240455 6.03557361231837 5.43015753674635 7.04960156383591 5.21054913270992 6.48703104431648 6.34097219762132 5.62789737064014 5.53683223119341 5.03775034233012 5.87206881632648 5.98369561125189 6.24130056540304 6.10479690535851 6.00633829370215 4.35950059941651 6.40286070500167 6.06399438896928 5.14100027934718 5.45068598820651 5.32733923626842 6.04174638638267 5.64795819297081 6.0979899599927 4.50286334557585 5.25914011877433 5.51302980901078 5.65127555672201 5.16547094294703 5.6063111632494
"RP11-14N7.2" 6.87728502446789 7.09967851585394 7.03557480529671 8.0722017791574 8.04070054914088 6.71036130393309 5.797902651798 7.49291655311239 2.0067695862232 8.33000316113884 5.69006972154432 3.30014077545456 7.06590808933944 6.69149083025427 6.99234127886902 5.37952596429621 8.27045971032026 5.92113802111571 7.28077091962974 6.76168617801353 7.40789543883714 6.50804150908278 6.96567813752005 6.70786374205697 8.50935585676648 6.86628608357732 7.64158671050297 6.80989058917842 5.37985928626597 2.35159184796191 7.83069166956392 6.33883011731676 6.71247587986577 6.62497102095924 4.3975830354099 7.78552742600248 6.3737683789402 6.57335829945549 5.64291649667113 8.05257372982246 8.79004202457913 7.77938861522437 6.63422946490535 9.84779267380404 7.37777133403645 8.14758368569042 6.49104311536695 7.27650410409526 6.2541277081744 7.34078588569217 7.70433687769616 4.59347968087185 6.69919448365926 7.47077071747806 4.30792164572935 7.4946366551614 6.97330559977095 4.34298291314906 5.50390214540779 7.06385399186272 7.80305535973386 6.45553314122974 5.59784576837963 5.52790566781515 5.33317084651604 6.86255967345448 7.47853279777795 6.26324965673018 8.17622574581003 3.56759425520593 7.25186100869922 7.04612205681333 5.62204098937814 7.19467451606377 8.4963090589181 6.67459537600142 6.56838844129051 4.17146887653301 6.5246034144615 6.26141375960539
"RP11-266K4.9" 1.35499597961878 5.57362034277638 2.0592455607989 6.49006723686236 5.6677343350238 6.38632224452965 6.54422022784633 4.65057117955514 5.26287893446231 3.01211504979332 5.03397472790802 4.75683466098094 3.32802470088272 3.86055110358436 2.9180690460439 4.50570254114293 4.24601472354118 7.10765425515252 5.20444634097282 6.55327548595318 0.822651210816919 2.44492877865089 7.41671664134287 4.18727714010007 5.13226561393542 4.24613110254953 4.23935120458365 5.17371367288774 6.53252616474298 6.1916907828687 4.3658789645879 5.40142295337264 4.70380561144606 7.35230115257639 3.77427536343461 7.86952776641625 5.05736835341258 6.47161540529503 7.90536098411989 1.20288971702433 3.49100524942245 4.64538856190592 1.407902773137 3.24158457146252 2.91196013292744 5.26861504282968 6.03276100521924 5.28455699877781 6.53706131310672 1.71339286544442 4.6068317692276 4.68687079714675 4.70035246411991 5.37204476595095 3.4374438925502 1.75338899427133 1.81760912717386 3.35051540360835 5.31060047718479 5.40499183362722 2.98693849812921 6.24751206330474 2.9736265074948 5.02636438391419 4.45849060262224 4.85802252098524 2.40418775280841 5.14498135025167 4.04144527932814 4.54384335745927 7.03642490810731 6.19614094400963 6.79983222845598 3.77532287093903 6.45328928169324 5.62705487514586 6.03000001700496 1.0501673326254 6.58928815466892 5.60957876575986
"RP11-262H14.4" 4.27144037974642 7.92096026193775 10.6517901473095 10.3598122185652 8.7224839393262 11.4099394809466 8.7561001450666 8.29447153351187 9.95966622039803 9.86405012809046 4.85979040117294 10.1501333356722 8.73063586759038 5.91867824608365 8.89525308698829 7.89794593553153 11.1592682808126 9.64082715560579 4.49369601447997 10.0934700612481 11.5180547154282 6.21677578021778 8.94437079183354 10.0967523229859 9.26047325726752 7.57191841685392 10.1857137106468 10.7052042488839 7.97479054415658 10.3232777113241 12.2312937400042 11.9802096329927 10.6664616939598 8.33702625534343 9.905171385661 9.1379316221604 8.84352192727772 10.472033201814 7.70502742643419 7.13379385092286 8.38504601171378 8.70470701455058 9.69500326274223 11.3988178824657 10.4624159106451 9.01916537073187 5.61415793568281 7.30051260270059 4.45347114385409 8.57451248122494 9.19096556518291 6.63674174153128 9.06778913722691 9.13077162091374 6.13027844043847 7.75635641162284 8.50993600267287 6.1678236280185 7.18240797362816 9.66224795551481 9.59917076111343 9.57789101470915 8.56809462750405 10.5152603180668 8.36151544365863 8.27708718390437 5.90292573049827 5.96093077767246 4.29100263068467 5.1158204303729 5.68507906899916 6.52247302095006 10.5194006762392 9.79469697166907 9.59221628170081 6.18943396242258 7.84623311269581 7.49048388546219 8.53973477845499 9.7306611499618
"AC093323.3" 11.0724403921323 11.8882137067151 10.7974480674715 11.674390076198 10.929278006561 11.9332629892191 11.7852816842442 11.7787227361564 11.306450813871 11.069961087936 10.4407451911344 13.1118640134884 12.1136517857597 10.8598704023897 11.950412871018 11.408437051681 11.3894205262847 11.9332845729133 11.9314894657342 11.3749473037514 10.8840851909974 11.3629646081682 11.3750303827889 11.2622761172868 12.3381095873989 11.4105162925873 10.6472786571972 11.8486902266123 11.1444236182054 11.6855026288217 12.2432567414904 11.2714658262748 10.7950804976147 12.1619426680856 10.8221869993027 11.5585146621491 11.4893467189361 11.4176675511575 11.1477983414743 10.4034172765002 10.9045315458398 11.7788938917428 12.2887747128254 8.87210139315621 10.8997393838811 11.5551196754001 11.568660162667 11.5402693074587 10.6933865385581 11.3630600906941 11.6255563655133 11.167021884285 11.6173644511215 10.0829583504698 10.9907801386457 10.6615256476573 11.5311723538574 11.046296696315 11.1655268622856 11.1026200311931 12.3382323433864 11.0006010905505 11.7594068293495 11.5987067337659 11.4624975487006 11.3653885585151 5.22239065102988 11.8001115614802 11.1816277776489 11.0086953734356 11.6646355059157 12.0800044340717 12.2277118414967 12.1802282588707 12.1746003368528 11.2617440289017 11.1430908827589 10.1990462287091 12.029775549603 12.184555486476
"CMB9-22P13.1" 7.11006074181259 8.19282239625314 2.9532103781778 3.68682894319172 5.91963218022893 7.75083590107448 4.14789043787523 4.1244354133667 7.34288667956083 6.57405255667746 5.37677631084525 5.78812298440233 10.8137393386756 6.08909193863256 10.943938780367 5.27973872426856 3.72596776148565 8.40764641856251 4.87474995126889 2.81543332256367 9.67955779839888 10.1054646236424 6.12810644322275 5.96520390694835 8.88513602690553 6.37459435190789 4.73962236635394 3.76383236222929 6.47476360660692 3.51994070142743 1.20696670581229 5.45990997236052 5.18898877426075 5.59348276239723 7.89811649071156 6.83637318930333 8.80002988988672 5.80298771926025 9.98361200463852 5.23944858354859 9.91208156223349 9.03212697217498 8.76229001050125 7.8326051315669 5.67778203193526 3.46331937628461 10.3924294309514 8.7201110847892 9.83884957839581 9.28117459166259 4.00513277766812 7.23119937168467 7.63616323559923 6.34145710653551 4.76534042860727 7.16379700893967 6.66819042197176 7.69984428507509 3.71060864463534 2.13380251702507 6.94899457201538 5.39037297007887 9.03745801560864 5.08605147855438 3.82292073621461 10.1227756371922 6.04801864266273 5.99497650930674 3.43970806530746 6.27148862446166 5.81119979951277 5.13019460411985 5.7647220926337 7.56904571343485 11.9200034997432 11.2707041847645 9.17977434646191 2.15911655707932 10.689169609641 4.5894937186025
"RP11-244H3.1" 3.19115759480756 3.12861502146339 2.85739429590002 2.28461128745101 1.66889219660598 3.21380707101464 2.2867038049007 2.38966873807289 3.08667206072979 3.11958444189872 2.40380406800525 2.09646251793044 2.876074204712 1.06769714368344 2.55554665314563 2.01088066657506 3.05559209285828 3.2939387875742 2.47344434287055 2.07057930522244 2.72918659236967 2.64021591978539 3.47815528219881 3.47801107098751 2.97470875533033 2.16114455915039 3.22565681926413 3.04320684358221 3.86779375689797 4.02749677385245 3.21546567243468 3.04281738922548 2.59279091515336 2.67563611102859 3.12436086453472 2.9177073451806 3.12087653802859 3.20810797156195 3.7073734769943 2.41478049862102 2.32605688988088 2.90700322596656 2.50530024548072 2.67828539924931 3.35591412611538 3.13872461347167 3.12103940802487 3.04390857934626 2.69310659762358 1.88046725911266 2.56008354230457 3.37022118408419 3.04948334461001 2.75735540005739 2.66208052487537 3.18272997210282 3.57698723801182 3.61167524945156 3.25046825429197 2.95914688688139 1.94840057122692 2.41773674306002 4.10132907279124 3.47348256451007 -0.693147180559945 2.22707069046842 2.82586736090299 2.66132782341103 2.90094441224325 2.19170419335301 3.45231487258309 3.58641417658969 3.0703189806301 2.31527631646027 2.93815134243189 3.79692715169802 3.58624878824327 2.27514037594883 3.74536259353733 1.99241414740715
"AC012074.2" 3.70035956284902 3.82566388783116 3.8049696212437 2.69001044838635 2.71614780381477 3.36452186164352 3.45519978249962 2.67471156164159 4.63791548475365 2.33347517759192 3.76543983685159 3.52073826295719 2.91535760890999 3.034029526808 3.26091433420308 2.34934382829225 3.9891828428021 3.21998924925539 3.15493360734225 3.12624487749928 2.90927713955846 3.3640855935371 3.79252109178339 3.45165567483164 2.93292158089724 2.89069353422162 2.29323181594337 2.10804627420727 4.07832054813561 3.28372906418515 3.42550333497349 2.54915325100275 3.04086958080303 3.54310486947899 2.97606743281427 2.62096508705693 3.2268876064557 4.03357175734949 3.25979004392982 2.68088492026124 2.44938362818174 2.53797820983431 2.3370504554357 2.21790999552933 3.01247846487212 3.72250619802318 3.24455340436733 2.64343967614181 3.41136071239673 2.49579848323914 3.06864351016594 3.84200873998319 3.56050041383832 3.27409273581755 2.9994436987363 3.61179113405258 3.47984680430932 3.60324512241427 2.85139531036455 2.01218025009236 2.45299913422059 2.86754389739776 4.23627596630238 3.25056486928574 1.1186430901405 3.80078101228686 3.93767287361211 3.59400505657268 2.53489219809878 2.60811939799738 2.99372746038169 3.24322843759917 3.07654758171121 2.9015066426656 2.91551978655746 3.89636820006604 4.22394632270347 2.11918952073318 3.26097514644926 2.07214156840025
